Date,Open,High,Low,Close,Volume
2025-03-19,485.93,492.77,485.42,490.33,105574
2025-03-18,486.45,492.56,483.67,488.19,602400
2025-03-17,475.1,491.64,475.1,488.73,706000
2025-03-14,470.11,478.83,465.0,477.45,786800
2025-03-13,461.9,470.21,460.6,465.06,973100
2025-03-12,466.15,469.51,463.09,464.66,688700
2025-03-11,464.22,469.21,458.9,464.41,655400
2025-03-10,455.59,469.89,454.78,468.13,1356500
2025-03-07,473.17,474.15,448.5,460.39,983200
2025-03-06,475.61,481.36,472.35,475.91,934900
2025-03-05,468.17,478.7,466.23,477.63,864300
2025-03-04,465.96,470.63,451.09,461.92,1103200
2025-03-03,486.45,490.0,467.99,469.8,611400
2025-02-28,485.57,488.09,474.32,482.35,860600
2025-02-27,488.25,493.38,481.35,481.55,502800
2025-02-26,490.65,497.5,488.62,490.33,795300
2025-02-25,491.68,495.04,483.39,489.49,790300
2025-02-24,489.06,494.12,485.52,489.84,566400
2025-02-21,510.39,510.39,486.8,489.04,730700
2025-02-20,515.92,519.03,499.28,505.21,566200
2025-02-19,526.47,529.61,516.15,520.1,406200
2025-02-18,531.83,538.87,528.28,533.12,614100
2025-02-14,534.5,534.5,524.57,526.52,687800
2025-02-13,522.02,531.24,517.47,530.79,665100
2025-02-12,500.61,526.12,481.93,516.29,1329000
2025-02-11,526.2,532.52,522.49,528.14,623100
2025-02-10,541.2,541.2,529.08,530.1,443700
2025-02-07,544.55,546.24,536.74,537.72,328500
2025-02-06,540.51,547.29,539.23,544.55,390800
2025-02-05,540.44,540.59,535.17,539.08,463800
2025-02-04,538.9,540.56,535.54,536.42,408900
2025-02-03,535.15,539.49,526.92,535.07,395000
2025-01-31,544.68,547.39,541.1,543.23,391000
2025-01-30,541.42,546.97,539.29,545.44,340800
2025-01-29,541.23,544.33,538.33,538.96,309300
2025-01-28,548.09,555.92,540.16,541.28,343300
2025-01-27,543.44,547.3,540.76,545.15,318500
2025-01-24,547.9,549.64,545.47,547.66,293700
2025-01-23,550.71,553.77,545.61,547.87,327600
2025-01-22,548.18,553.53,540.07,548.78,366600
2025-01-21,554.93,559.2,548.64,551.74,460100
2025-01-17,533.59,543.75,533.03,541.67,371400
2025-01-16,530.29,532.23,525.24,530.36,200700
2025-01-15,528.85,531.5,526.55,530.42,320200
2025-01-14,515.01,519.15,512.9,516.83,285400
2025-01-13,505.19,512.46,505.19,512.36,475800
2025-01-10,510.96,511.86,504.62,507.88,356800
2025-01-08,510.08,521.12,506.91,516.4,378000
2025-01-07,512.94,515.02,504.99,507.82,479600
2025-01-06,517.45,526.27,515.08,516.52,366400
2025-01-03,510.4,518.53,510.28,515.83,332400
2025-01-02,518.89,522.92,506.87,509.73,414700
2024-12-31,521.85,522.08,513.85,515.66,267800
2024-12-30,521.26,524.34,517.17,519.4,250400
2024-12-27,526.99,533.24,525.69,527.98,249300
2024-12-26,530.74,534.45,529.17,531.17,526100
