Date,Open,High,Low,Close,Volume
2025-03-21,233.04,233.95,231.26,232.31,3067100
2025-03-20,232.51,234.06,231.04,233.37,1713900
2025-03-19,231.97,233.09,230.53,232.57,1598600
2025-03-18,232.74,234.22,231.59,232.16,1510800
2025-03-17,230.8,233.38,230.33,232.91,1603100
2025-03-14,229.94,231.89,229.3,231.53,1721100
2025-03-13,229.91,231.96,228.65,229.94,1596200
2025-03-12,232.32,232.88,228.24,229.81,1828800
2025-03-11,235.94,236.2,231.89,233.11,2572600
2025-03-10,234.97,238.57,234.15,236.22,2184300
2025-03-07,235.03,236.98,233.83,235.49,1671900
2025-03-06,236.76,237.26,234.54,236.41,2043800
2025-03-05,235.56,239.05,235.46,237.8,1728200
2025-03-04,239.81,241.84,236.38,236.77,2116600
2025-03-03,237.05,239.81,235.08,239.48,2009000
2025-02-28,236.74,237.97,234.44,237.84,2361400
2025-02-27,231.48,236.0,231.48,234.61,1614800
2025-02-26,233.57,234.21,231.36,231.56,1372400
2025-02-25,234.14,235.18,232.86,234.2,2253300
2025-02-24,231.0,234.62,229.25,232.85,1880600
2025-02-21,230.07,231.36,229.26,230.01,2193700
2025-02-20,229.99,231.35,228.3,230.57,1787000
2025-02-19,230.04,231.72,229.37,231.13,2042500
2025-02-18,228.48,230.8,227.91,230.14,1394300
2025-02-14,231.6,231.81,228.77,228.83,1691900
2025-02-13,229.22,231.64,228.91,231.1,1567600
2025-02-12,226.87,229.05,226.39,228.97,2045000
2025-02-11,227.98,228.58,226.95,228.0,2085000
2025-02-10,227.37,228.47,225.46,228.05,1698700
2025-02-07,225.94,228.02,225.64,227.4,2210300
2025-02-06,226.45,227.43,225.2,226.0,2955800
2025-02-05,224.37,225.72,222.54,225.51,2407200
2025-02-04,219.63,224.12,219.08,223.07,4763400
2025-02-03,216.0,219.72,214.78,219.29,2677900
2025-01-31,219.12,219.86,215.64,216.88,2346000
2025-01-30,223.5,223.5,215.53,220.83,2709000
2025-01-29,218.7,220.8,218.27,218.49,1668900
2025-01-28,222.75,223.66,219.91,220.06,1839400
2025-01-27,219.5,223.31,218.5,223.01,1663400
2025-01-24,215.87,218.75,215.37,218.15,2024200
2025-01-23,216.52,217.67,214.71,216.62,2115200
