Date,Open,High,Low,Close,Volume
2025-03-19,1.84,2.41,1.8,2.2,1005954
2025-03-18,1.92,1.93,1.82,1.83,78300
2025-03-17,1.83,1.93,1.76,1.91,221500
2025-03-14,1.71,1.83,1.68,1.75,379800
2025-03-13,1.68,1.75,1.6,1.68,283700
2025-03-12,1.7,1.73,1.58,1.68,401800
2025-03-11,1.76,1.82,1.56,1.65,4245600
2025-03-10,1.94,1.94,1.56,1.8,519400
2025-03-07,2.29,2.3,1.88,2.0,367000
2025-03-06,2.38,2.44,2.15,2.26,138900
2025-03-05,2.3,2.56,2.27,2.45,194400
2025-03-04,2.36,2.44,2.05,2.3,195800
2025-03-03,2.64,2.82,2.4,2.4,134500
2025-02-28,2.69,2.72,2.4,2.65,305000
2025-02-27,3.16,3.16,2.77,2.85,143100
2025-02-26,3.04,3.18,3.04,3.1,187400
2025-02-25,3.31,3.34,3.01,3.06,244200
2025-02-24,3.56,3.56,3.21,3.38,278000
2025-02-21,3.69,3.74,3.53,3.57,222400
2025-02-20,3.66,3.81,3.38,3.77,277700
2025-02-19,3.48,3.8,3.43,3.63,360700
2025-02-18,3.76,3.89,3.5,3.55,304700
2025-02-14,3.55,3.88,3.44,3.81,566900
2025-02-13,3.5,3.95,3.3,3.6,1165600
2025-02-12,3.74,3.74,3.33,3.46,804800
2025-02-11,4.13,4.18,3.7,3.74,1815300
2025-02-10,4.69,6.35,4.15,4.47,47967800
2025-02-07,4.39,4.4,3.6,3.8,379200
2025-02-06,4.56,4.85,4.28,4.38,217500
2025-02-05,5.12,5.12,4.45,4.57,443200
2025-02-04,5.9,6.19,4.74,5.0,932700
2025-02-03,5.63,5.71,5.36,5.58,91200
2025-01-31,5.75,6.22,5.75,5.83,70700
2025-01-30,5.78,6.05,5.62,5.71,118100
2025-01-29,6.11,6.18,5.37,5.76,215600
2025-01-28,6.47,6.61,6.09,6.18,144700
2025-01-27,6.62,6.77,6.11,6.42,184700
2025-01-24,7.22,7.43,6.6,6.78,241000
