Date,Open,High,Low,Close,Volume
2025-03-21,1.55,1.56,1.51,1.55,12000
2025-03-20,1.58,1.59,1.48,1.55,33700
2025-03-19,1.58,1.62,1.52,1.59,13700
2025-03-18,1.62,1.62,1.5,1.57,8600
2025-03-17,1.56,1.64,1.48,1.59,27100
2025-03-14,1.54,1.54,1.45,1.48,22400
2025-03-13,1.51,1.56,1.49,1.5,6600
2025-03-12,1.57,1.57,1.41,1.5,35300
2025-03-11,1.55,1.55,1.45,1.46,11600
2025-03-10,1.54,1.65,1.43,1.48,33600
2025-03-07,1.64,1.68,1.43,1.55,51800
2025-03-06,1.59,1.6,1.53,1.57,8100
2025-03-05,1.47,1.59,1.42,1.52,17500
2025-03-04,1.41,1.52,1.38,1.46,29200
2025-03-03,1.46,1.53,1.42,1.45,18800
2025-02-28,1.48,1.5,1.41,1.46,21300
2025-02-27,1.51,1.59,1.29,1.46,37600
2025-02-26,1.57,1.65,1.29,1.51,51500
2025-02-25,1.62,1.64,1.57,1.57,23200
2025-02-24,1.64,1.67,1.56,1.56,12700
2025-02-21,1.64,1.7,1.55,1.6,19500
2025-02-20,1.61,1.66,1.54,1.64,17700
2025-02-19,1.67,1.76,1.51,1.6,43900
2025-02-18,1.66,1.77,1.56,1.65,53000
2025-02-14,1.69,1.73,1.65,1.67,17900
2025-02-13,1.7,1.75,1.62,1.65,21300
2025-02-12,1.78,1.85,1.72,1.73,12700
2025-02-11,1.68,1.93,1.68,1.76,15000
2025-02-10,1.78,1.94,1.72,1.74,13500
2025-02-07,1.75,1.81,1.73,1.73,24000
2025-02-06,1.8,1.87,1.74,1.81,8200
2025-02-05,1.71,1.8,1.71,1.79,15400
2025-02-04,1.86,1.86,1.7,1.74,10800
2025-02-03,1.74,1.81,1.7,1.74,23600
2025-01-31,1.89,1.95,1.76,1.81,26300
2025-01-30,2.0,2.02,1.87,1.88,5500
2025-01-29,2.0,2.0,1.75,1.89,23300
2025-01-28,1.91,2.14,1.85,1.98,67400
2025-01-27,1.95,1.95,1.84,1.86,16700
2025-01-24,1.9,2.0,1.88,1.92,23300
2025-01-23,1.91,1.97,1.85,1.94,30300
2025-01-22,1.92,1.95,1.84,1.88,31900
2025-01-21,1.91,1.99,1.81,1.96,52700
2025-01-17,1.86,2.04,1.86,1.95,31600
2025-01-16,1.93,2.02,1.86,1.89,28800
2025-01-15,2.02,2.17,1.9,1.96,32500
2025-01-14,1.95,2.04,1.9,2.04,28100
2025-01-13,2.15,2.15,1.86,2.01,69500
2025-01-10,2.14,2.18,2.0,2.06,51200
2025-01-08,2.3,2.3,2.11,2.13,52800
2025-01-07,2.57,2.59,2.23,2.32,90500
2025-01-06,2.22,2.75,2.22,2.49,461000
2025-01-03,2.14,2.17,2.03,2.14,51000
2025-01-02,2.03,2.19,2.02,2.11,56800
2024-12-31,2.1,2.17,2.0,2.03,104600
2024-12-30,1.88,2.05,1.76,1.98,260700
2024-12-27,1.76,1.81,1.66,1.76,51400
2024-12-26,1.55,1.93,1.55,1.81,94500
2024-12-24,1.62,1.63,1.55,1.62,30200
2024-12-23,1.66,1.67,1.51,1.63,96800
2024-12-20,1.65,1.78,1.6,1.6,150600
2024-12-19,1.72,1.83,1.69,1.76,126600
2024-12-18,2.0,2.1,1.55,1.85,4882900
2024-12-17,2.35,2.38,2.17,2.25,22700
2024-12-16,2.3,2.5,2.16,2.21,39200
2024-12-13,2.3,2.38,2.18,2.19,35800
2024-12-12,2.4,2.48,2.3,2.31,24500
2024-12-11,2.27,2.5,2.24,2.37,11900
2024-12-10,2.41,2.41,2.18,2.26,40400
2024-12-09,2.24,2.35,2.24,2.32,16200
2024-12-06,2.39,2.45,2.04,2.31,22400
2024-12-05,2.37,2.54,2.28,2.3,30200
2024-12-04,2.45,2.47,2.28,2.45,27200
2024-12-03,2.58,2.63,2.35,2.57,18300
2024-12-02,2.33,2.65,2.33,2.6,40400
2024-11-29,2.31,2.65,2.31,2.55,12800
2024-11-27,2.35,2.44,2.32,2.36,13000
2024-11-26,2.37,2.44,2.3,2.35,19100
2024-11-25,2.5,2.54,2.38,2.42,26600
2024-11-22,2.36,2.45,2.35,2.37,26200
2024-11-21,2.35,2.49,2.33,2.35,12300
2024-11-20,2.42,2.5,2.3,2.4,21700
2024-11-19,2.31,2.49,2.31,2.45,17900
2024-11-18,2.31,2.38,2.25,2.31,32800
2024-11-15,2.46,2.46,2.18,2.22,40600
2024-11-14,2.57,2.6,2.39,2.39,55300
2024-11-13,2.62,2.68,2.37,2.56,70800
2024-11-12,2.67,2.94,2.5,2.56,73700
2024-11-11,2.95,2.95,2.59,2.67,28300
2024-11-08,2.7,2.99,2.7,2.8,61300
2024-11-07,2.57,2.74,2.57,2.68,11100
2024-11-06,2.61,2.86,2.52,2.74,40200
2024-11-05,2.72,2.74,2.52,2.54,22200
2024-11-04,2.5,2.84,2.41,2.53,55100
2024-11-01,2.54,2.91,2.54,2.67,63200
2024-10-31,2.63,2.78,2.53,2.57,11800
2024-10-30,2.67,2.98,2.63,2.65,19000
2024-10-29,2.87,2.91,2.55,2.86,36700
2024-10-28,2.93,3.0,2.73,2.85,32300
2024-10-25,2.75,3.12,2.75,2.78,30300
2024-10-24,2.97,2.97,2.72,2.8,11700
2024-10-23,2.88,2.92,2.75,2.83,13900
2024-10-22,2.96,3.0,2.75,2.88,10200
2024-10-21,3.04,3.15,2.92,2.92,15900
2024-10-18,3.11,3.16,2.96,3.03,19500
2024-10-17,2.88,3.27,2.88,3.16,112000
2024-10-16,2.6,2.98,2.6,2.96,95400
2024-10-15,2.55,2.69,2.48,2.53,15500
2024-10-14,2.49,2.63,2.44,2.54,30700
2024-10-11,2.41,2.58,2.41,2.56,27500
2024-10-10,2.64,2.67,2.08,2.47,79600
2024-10-09,2.65,2.77,2.6,2.67,26800
2024-10-08,2.7,2.8,2.64,2.65,19700
2024-10-07,2.65,2.77,2.65,2.7,25900
2024-10-04,2.79,2.92,2.65,2.73,29700
2024-10-03,2.71,2.71,2.6,2.65,27400
2024-10-02,2.88,3.0,2.56,2.69,138500
2024-10-01,3.15,3.18,2.87,2.93,100900
2024-09-30,3.38,3.5,3.06,3.17,270200
