Date,Open,High,Low,Close,Volume
2025-03-14,46.67,46.83,45.82,46.24,10534700
2025-03-13,44.07,46.27,43.93,45.65,11811900
2025-03-12,43.31,43.96,42.91,43.63,7546800
2025-03-11,42.66,43.87,42.66,43.42,9565700
2025-03-10,43.5,43.9,42.03,42.37,8741400
2025-03-07,43.8,45.04,43.48,43.87,8254600
2025-03-06,43.67,44.25,43.48,43.92,9923500
2025-03-05,42.85,43.92,42.56,43.85,10063500
2025-03-04,42.74,43.07,41.93,42.51,11878100
2025-03-03,43.44,43.69,41.91,42.11,12599900
2025-02-28,41.35,42.61,40.99,42.59,14387200
2025-02-27,42.87,43.0,41.79,41.87,9621700
2025-02-26,42.85,43.68,42.35,43.32,7966700
2025-02-25,43.51,43.61,41.91,42.68,13053000
2025-02-24,45.14,45.2,43.2,43.78,22565300
2025-02-21,47.18,47.95,44.88,45.06,17235100
2025-02-20,47.12,47.95,46.92,47.81,13664600
2025-02-19,46.62,47.52,46.5,47.13,9043500
2025-02-18,47.11,47.34,46.48,47.23,9006900
2025-02-14,47.51,47.63,46.27,46.27,9890800
2025-02-13,46.71,47.72,46.39,47.47,11626000
2025-02-12,45.04,46.74,44.84,46.53,11972300
2025-02-11,45.73,45.96,45.2,45.22,11489000
2025-02-10,45.73,46.35,45.51,46.19,10736300
2025-02-07,44.91,45.57,44.54,44.58,7483900
2025-02-06,44.67,44.76,43.8,44.62,11222900
2025-02-05,43.8,45.25,43.71,44.69,14089500
2025-02-04,42.84,43.29,42.73,43.09,7856100
2025-02-03,42.65,43.44,42.41,42.87,10451700
2025-01-31,43.23,43.36,42.22,42.47,10595200
2025-01-30,42.13,43.26,42.0,42.84,9872800
2025-01-29,41.18,41.74,40.75,41.34,9944000
2025-01-28,41.32,41.4,40.78,41.11,6098600
2025-01-27,41.39,41.51,40.61,41.32,6135800
2025-01-24,42.33,42.6,41.74,41.79,5244700
2025-01-23,41.27,41.71,40.81,41.7,6280000
2025-01-22,42.28,42.35,41.37,41.43,6597000
2025-01-21,41.86,42.45,41.84,42.1,8027300
2025-01-17,41.11,41.63,40.86,41.42,7286500
2025-01-16,41.65,41.89,41.21,41.4,9421400
2025-01-15,40.54,41.26,40.11,41.13,11649300
2025-01-14,39.23,40.04,38.96,39.92,11369700
2025-01-13,38.7,38.96,38.3,38.94,8309400
2025-01-10,39.54,40.02,38.59,38.87,10018800
2025-01-08,37.97,38.92,37.89,38.9,8320400
2025-01-07,38.02,38.72,37.62,37.93,7585200
2025-01-06,37.85,38.07,37.46,37.57,8146600
2025-01-03,38.18,38.26,37.8,37.89,6261900
2025-01-02,37.84,38.62,37.67,38.14,8296200
2024-12-31,36.78,37.17,36.64,37.0,9342600
2024-12-30,37.2,37.28,36.64,36.78,7507800
2024-12-27,37.39,37.99,37.29,37.62,5456100
2024-12-26,38.08,38.38,37.87,37.87,5896400
2024-12-24,37.97,38.09,37.65,38.08,3549300
2024-12-23,37.79,38.03,37.24,37.93,8591600
2024-12-20,37.03,38.21,36.96,38.05,23927000
2024-12-19,37.45,37.7,36.72,36.8,13794000
2024-12-18,39.14,39.34,37.37,37.42,16488700
2024-12-17,39.23,39.83,39.2,39.57,12095800
2024-12-16,39.91,40.02,39.51,39.84,10069200
2024-12-13,40.76,40.85,39.95,39.98,11263900
2024-12-12,41.37,42.0,41.23,41.31,7387200
2024-12-11,41.41,42.27,41.2,42.03,8464900
2024-12-10,41.75,41.86,41.22,41.25,7751900
2024-12-09,41.65,42.18,41.36,41.48,10749000
2024-12-06,40.78,41.4,40.54,40.87,7751100
2024-12-05,41.19,41.35,39.88,40.83,10966900
2024-12-04,41.26,41.51,40.81,41.17,9668200
2024-12-03,40.91,41.95,40.86,41.32,8717000
2024-12-02,41.33,41.45,40.36,40.67,12596900
2024-11-29,41.94,42.07,41.67,41.69,6192900
2024-11-27,41.96,42.39,41.67,41.79,7045300
2024-11-26,41.8,41.95,41.51,41.75,6383700
2024-11-25,41.38,41.96,41.16,41.96,19080300
2024-11-22,42.97,43.27,42.58,42.87,8038500
2024-11-21,42.72,43.03,42.35,42.81,8421100
2024-11-20,42.54,42.58,42.08,42.48,7880500
2024-11-19,42.37,42.68,41.96,42.67,10940300
2024-11-18,41.41,41.94,41.25,41.86,10022800
2024-11-15,40.57,40.82,40.12,40.45,11733600
2024-11-14,40.24,40.71,40.0,40.2,16490700
2024-11-13,41.26,41.42,40.6,40.74,16105500
