Date,Open,High,Low,Close,Volume
2025-03-13,6.76,6.97,6.71,6.72,43926
2025-03-12,7.01,7.03,6.74,6.74,29300
2025-03-11,6.88,7.05,6.83,6.93,16500
2025-03-10,7.17,7.27,6.9,6.9,30900
2025-03-07,7.25,7.29,7.1,7.25,49100
2025-03-06,7.24,7.34,7.24,7.24,13300
2025-03-05,7.27,7.34,7.25,7.25,19400
2025-03-04,7.26,7.33,7.26,7.32,15600
2025-03-03,7.38,7.38,7.27,7.27,10500
2025-02-28,7.31,7.34,7.28,7.33,10900
2025-02-27,7.33,7.34,7.29,7.29,4400
2025-02-26,7.21,7.35,7.21,7.35,17800
2025-02-25,7.34,7.44,7.28,7.29,13500
2025-02-24,7.31,7.38,7.31,7.35,10400
2025-02-21,7.36,7.36,7.33,7.35,1100
2025-02-20,7.33,7.39,7.3,7.39,54000
2025-02-19,7.3,7.39,7.3,7.31,23700
2025-02-18,7.33,7.66,7.33,7.33,37800
2025-02-14,7.31,7.33,7.3,7.33,6900
2025-02-13,7.31,7.34,7.31,7.34,1400
2025-02-12,7.33,7.33,7.3,7.33,3100
2025-02-11,7.35,7.35,7.28,7.34,4400
2025-02-10,7.28,7.36,7.28,7.33,5500
2025-02-07,7.32,7.36,7.24,7.3,28000
2025-02-06,7.34,7.34,7.31,7.33,7700
2025-02-05,7.32,7.34,7.31,7.34,11300
2025-02-04,7.36,7.36,7.33,7.34,4200
2025-02-03,7.3,7.34,7.29,7.34,45500
2025-01-31,7.34,7.34,7.31,7.31,2800
2025-01-30,7.31,7.37,7.31,7.34,14500
2025-01-29,7.3,7.35,7.3,7.34,10700
2025-01-28,7.32,7.48,7.3,7.35,30000
2025-01-27,7.35,7.43,7.29,7.33,54100
2025-01-24,7.3,7.4,7.27,7.4,39600
2025-01-23,7.35,7.4,7.31,7.35,15100
2025-01-22,7.37,7.41,7.33,7.35,15500
2025-01-21,7.36,7.45,7.34,7.37,17400
2025-01-17,7.36,7.48,7.35,7.45,7700
2025-01-16,7.4,7.4,7.3,7.37,18200
2025-01-15,7.29,7.41,7.29,7.36,26600
2025-01-14,7.28,7.4,7.28,7.36,27500
2025-01-13,7.31,7.39,7.3,7.3,19700
2025-01-10,7.34,7.5,7.26,7.33,47200
2025-01-08,7.32,7.49,7.32,7.42,38100
2025-01-07,7.3,7.49,7.23,7.4,84500
