Date,Open,High,Low,Close,Volume
2025-03-19,0.0,0.0,0.0,0.0,0
2025-03-18,0.0,0.0,0.0,0.0,0
2025-03-17,0.0,0.0,0.0,0.0,0
2025-03-14,0.0,0.0,0.0,0.0,0
2025-03-13,0.0,0.0,0.0,0.0,0
2025-03-12,0.0,0.0,0.0,0.0,0
2025-03-11,0.0,0.0,0.0,0.0,0
2025-03-10,0.0,0.0,0.0,0.0,0
2025-03-07,0.0,0.0,0.0,0.0,0
2025-03-06,0.0,0.0,0.0,0.0,256
2025-03-05,0.0,0.0,0.0,0.0,702
2025-03-04,0.0,0.0,0.0,0.0,483
2025-03-03,0.0,0.0,0.0,0.0,381
2025-02-28,0.0,0.0,0.0,0.0,13585
2025-02-27,0.1,0.1,0.1,0.1,0
2025-02-26,0.1,0.1,0.1,0.1,0
2025-02-25,0.1,0.1,0.1,0.1,0
2025-02-24,0.1,0.1,0.1,0.1,0
2025-02-21,0.1,0.1,0.1,0.1,0
2025-02-20,0.1,0.1,0.1,0.1,0
2025-02-19,0.1,0.1,0.1,0.1,0
2025-02-18,0.1,0.1,0.1,0.1,0
2025-02-14,0.1,0.1,0.1,0.1,0
2025-02-13,0.1,0.1,0.1,0.1,1020
2025-02-12,0.11,0.11,0.11,0.11,0
2025-02-11,0.11,0.11,0.11,0.11,0
2025-02-10,0.11,0.11,0.11,0.11,0
2025-02-07,0.11,0.11,0.11,0.11,404
2025-02-06,0.1,0.1,0.1,0.1,0
2025-02-05,0.1,0.1,0.1,0.1,0
2025-02-04,0.1,0.1,0.1,0.1,0
2025-02-03,0.1,0.1,0.1,0.1,0
2025-01-31,0.1,0.1,0.1,0.1,0
2025-01-30,0.1,0.1,0.1,0.1,0
2025-01-29,0.1,0.1,0.1,0.1,147
2025-01-28,0.1,0.1,0.1,0.1,1011
2025-01-27,0.1,0.1,0.1,0.1,0
2025-01-24,0.1,0.1,0.1,0.1,0
2025-01-23,0.1,0.1,0.1,0.1,350
2025-01-22,0.1,0.1,0.1,0.1,0
2025-01-21,0.1,0.1,0.1,0.1,0
2025-01-17,0.1,0.1,0.1,0.1,1512
2025-01-16,0.14,0.14,0.14,0.14,0
2025-01-15,0.14,0.14,0.14,0.14,0
2025-01-14,0.1,0.14,0.1,0.14,126427
2025-01-13,0.11,0.14,0.1,0.1,2409
2025-01-10,0.1,0.1,0.1,0.1,269
2025-01-08,0.1,0.14,0.1,0.1,6136
2025-01-07,0.11,0.11,0.11,0.11,0
2025-01-06,0.14,0.15,0.11,0.11,8566
2025-01-03,0.14,0.15,0.1,0.1,23248
2025-01-02,0.1,0.15,0.1,0.12,20952
2024-12-31,0.1,0.13,0.1,0.12,20821
2024-12-30,0.11,0.21,0.1,0.16,88606
2024-12-27,0.21,0.22,0.21,0.21,1122
2024-12-26,0.17,0.21,0.15,0.21,7026
2024-12-24,0.28,0.28,0.19,0.2,36562
2024-12-23,0.23,0.29,0.21,0.28,20624
2024-12-20,0.27,0.27,0.23,0.23,5363
2024-12-19,0.25,0.27,0.23,0.27,5489
2024-12-18,0.25,0.25,0.23,0.23,10856
2024-12-17,0.23,0.25,0.23,0.23,1168
2024-12-16,0.23,0.38,0.23,0.3,1992
2024-12-13,0.23,0.23,0.23,0.23,1761
2024-12-12,0.41,0.41,0.23,0.23,944
2024-12-11,0.23,0.25,0.23,0.25,723
2024-12-10,0.28,0.28,0.23,0.23,3159
2024-12-09,0.23,0.26,0.23,0.26,3405
2024-12-06,0.23,0.29,0.23,0.23,515
2024-12-05,0.23,0.23,0.23,0.23,3536
2024-12-04,0.26,0.3,0.23,0.3,5614
2024-12-03,0.3,0.32,0.3,0.3,5423
2024-12-02,0.3,0.41,0.3,0.41,1612
2024-11-29,0.41,0.41,0.41,0.41,0
2024-11-27,0.22,0.41,0.22,0.41,4133
2024-11-26,0.3,0.3,0.3,0.3,0
2024-11-25,0.33,0.33,0.3,0.3,10426
2024-11-22,0.3,0.4,0.3,0.35,4909
2024-11-21,0.22,0.24,0.22,0.24,2796
2024-11-20,0.21,0.24,0.21,0.24,5015
2024-11-19,0.27,0.29,0.21,0.21,3523
2024-11-18,0.25,0.33,0.25,0.25,1184
2024-11-15,0.27,0.41,0.25,0.25,2786
2024-11-14,0.22,0.39,0.22,0.32,1547
2024-11-13,0.22,0.22,0.22,0.22,0
2024-11-12,0.22,0.22,0.22,0.22,10386
2024-11-11,0.25,0.25,0.25,0.25,0
2024-11-08,0.22,0.26,0.22,0.25,1673
2024-11-07,0.29,0.41,0.25,0.25,3115
2024-11-06,0.21,0.21,0.21,0.21,1917
2024-11-05,0.21,0.21,0.21,0.21,915
2024-11-04,0.21,0.21,0.21,0.21,884
2024-11-01,0.37,0.37,0.22,0.22,2672
2024-10-31,0.27,0.42,0.22,0.37,1041
2024-10-30,0.25,0.25,0.22,0.22,3617
2024-10-29,0.27,0.27,0.27,0.27,0
2024-10-28,0.22,0.27,0.22,0.27,4079
2024-10-25,0.24,0.42,0.22,0.22,876
2024-10-24,0.22,0.22,0.22,0.22,353
2024-10-23,0.21,0.31,0.21,0.24,1488
2024-10-22,0.22,0.26,0.22,0.26,480
2024-10-21,0.23,0.34,0.22,0.25,5505
2024-10-18,0.33,0.33,0.33,0.33,938
2024-10-17,0.32,0.33,0.32,0.33,17547
2024-10-16,0.2,0.32,0.2,0.32,5411
2024-10-15,0.2,0.26,0.2,0.23,4160
2024-10-14,0.26,0.29,0.24,0.27,5470
2024-10-11,0.23,0.28,0.22,0.22,9836
2024-10-10,0.25,0.28,0.24,0.24,6683
2024-10-09,0.2,0.25,0.2,0.25,10401
2024-10-08,0.23,0.27,0.2,0.22,2913
2024-10-07,0.2,0.35,0.2,0.2,4455
2024-10-04,0.25,0.31,0.2,0.2,1681
2024-10-03,0.28,0.28,0.21,0.21,808
2024-10-02,0.2,0.25,0.2,0.24,360
2024-10-01,0.2,0.25,0.2,0.25,1550
2024-09-30,0.35,0.35,0.25,0.25,1293
2024-09-27,0.25,0.25,0.25,0.25,344
2024-09-26,0.36,0.36,0.25,0.3,22981
2024-09-25,0.22,0.36,0.22,0.32,3055
2024-09-24,0.24,0.26,0.23,0.26,10303
2024-09-23,0.25,0.25,0.25,0.25,1756
2024-09-20,0.32,0.32,0.22,0.25,1814
2024-09-19,0.3,0.3,0.3,0.3,466
2024-09-18,0.27,0.47,0.27,0.3,1733
2024-09-17,0.27,0.27,0.27,0.27,876
2024-09-16,0.34,0.5,0.32,0.32,5340
2024-09-13,0.38,0.38,0.38,0.38,0
2024-09-12,0.33,0.38,0.33,0.38,839
2024-09-11,0.35,0.35,0.35,0.35,597
2024-09-10,0.36,0.36,0.36,0.36,570
2024-09-09,0.34,0.39,0.33,0.35,1653
2024-09-06,0.37,0.37,0.37,0.37,0
2024-09-05,0.34,0.37,0.34,0.37,1119
2024-09-04,0.51,0.51,0.51,0.51,0
2024-09-03,0.45,0.69,0.43,0.51,5125
2024-08-30,0.48,0.53,0.45,0.45,5418
2024-08-29,0.68,0.7,0.52,0.54,9541
2024-08-28,0.82,0.82,0.82,0.82,0
2024-08-27,0.82,0.82,0.8,0.82,559
2024-08-26,0.77,0.8,0.77,0.77,1799
2024-08-23,0.82,0.95,0.79,0.82,2813
2024-08-22,0.92,0.92,0.9,0.9,2058
2024-08-21,0.98,0.98,0.93,0.93,222
2024-08-20,0.99,0.99,0.97,0.97,482
2024-08-19,1.01,1.05,0.9,1.01,8272
2024-08-16,0.82,0.82,0.82,0.82,0
2024-08-15,0.82,0.82,0.82,0.82,459
2024-08-14,0.85,0.85,0.84,0.84,1346
2024-08-13,1.18,1.18,0.82,0.82,8469
2024-08-12,1.17,1.17,1.17,1.17,337
2024-08-09,1.07,1.18,1.06,1.16,5653
2024-08-08,1.06,1.06,1.06,1.06,498
2024-08-07,1.17,1.22,1.11,1.12,6493
2024-08-06,1.17,1.22,1.17,1.22,4269
2024-08-05,1.2,1.2,0.98,1.17,5136
2024-08-02,1.17,1.34,1.17,1.19,3188
2024-08-01,1.14,1.32,1.14,1.18,2223
2024-07-31,1.28,1.29,1.05,1.15,12135
2024-07-30,1.25,1.3,1.21,1.29,6855
2024-07-29,1.33,1.39,1.3,1.31,7417
2024-07-26,1.36,1.38,1.32,1.34,24100
2024-07-25,1.58,1.58,1.36,1.38,16242
2024-07-24,1.65,1.67,1.6,1.63,3273
2024-07-23,1.51,1.72,1.5,1.67,12609
2024-07-22,1.88,1.88,1.48,1.7,41657
2024-07-19,2.16,2.16,1.75,1.89,22878
2024-07-18,2.26,2.3,2.15,2.17,21276
2024-07-17,2.27,2.4,2.17,2.25,58506
2024-07-16,2.21,2.59,2.15,2.43,92640
2024-07-15,2.7,2.95,2.22,2.37,199434
2024-07-12,2.5,3.23,2.25,2.98,809019
2024-07-11,2.36,7.05,2.31,3.93,34525137
2024-07-10,2.25,2.43,2.01,2.31,49473
2024-07-09,2.44,2.44,2.25,2.28,20207
2024-07-08,2.31,2.45,2.31,2.39,8582
2024-07-05,2.42,2.45,2.35,2.37,11797
2024-07-03,2.49,2.49,2.48,2.48,1394
2024-07-02,2.51,2.58,2.4,2.48,8160
2024-07-01,2.44,2.65,2.34,2.58,24873
2024-06-28,2.66,2.77,2.59,2.76,6096
2024-06-27,2.8,2.84,2.65,2.7,22948
2024-06-26,2.83,2.86,2.7,2.76,5864
2024-06-25,2.74,2.85,2.74,2.8,1123
2024-06-24,2.88,2.88,2.73,2.8,3596
2024-06-21,2.86,2.87,2.8,2.87,7073
2024-06-20,2.79,2.84,2.69,2.71,5393
2024-06-18,2.81,2.82,2.79,2.79,2269
2024-06-17,2.86,2.96,2.84,2.95,3415
2024-06-14,2.86,2.95,2.82,2.95,2109
2024-06-13,2.88,2.9,2.84,2.9,2464
2024-06-12,2.95,3.0,2.69,2.89,16131
2024-06-11,2.65,2.89,2.65,2.89,6565
2024-06-10,2.99,2.99,2.73,2.73,11722
2024-06-07,3.12,3.12,2.93,3.0,10018
2024-06-06,3.12,3.2,3.04,3.2,15716
2024-06-05,3.04,3.2,3.04,3.14,4577
2024-06-04,3.17,3.25,3.03,3.16,11842
2024-06-03,3.16,3.16,3.01,3.1,7657
2024-05-31,3.03,3.13,3.03,3.06,2510
2024-05-30,3.12,3.12,3.01,3.01,1161
2024-05-29,3.16,3.16,3.01,3.11,5265
2024-05-28,3.18,3.18,3.02,3.02,7496
2024-05-24,3.16,3.2,3.01,3.18,11621
2024-05-23,3.16,3.22,3.12,3.13,4831
2024-05-22,3.2,3.31,3.11,3.16,15593
2024-05-21,3.41,3.43,3.2,3.3,10873
2024-05-20,3.24,3.34,3.15,3.21,9478
2024-05-17,3.42,3.55,3.33,3.34,5335
2024-05-16,3.34,3.47,3.34,3.44,6819
2024-05-15,3.31,3.56,3.31,3.46,1730
2024-05-14,3.53,3.54,3.39,3.4,24731
2024-05-13,3.5,3.56,3.39,3.41,9061
2024-05-10,3.53,3.6,3.42,3.6,5526
2024-05-09,3.39,3.84,3.36,3.46,40853
2024-05-08,3.59,3.71,3.32,3.38,23466
2024-05-07,3.44,3.8,3.22,3.59,71616
2024-05-06,3.41,3.52,3.3,3.52,10295
2024-05-03,3.15,3.49,3.1,3.32,37434
2024-05-02,3.13,3.2,3.07,3.12,14102
2024-05-01,3.35,3.35,3.15,3.18,10544
2024-04-30,3.35,3.38,3.28,3.36,3229
2024-04-29,3.37,3.41,3.24,3.28,15705
2024-04-26,3.4,3.47,3.37,3.37,3391
2024-04-25,3.29,3.59,3.26,3.41,7330
2024-04-24,3.48,3.48,3.26,3.26,12753
2024-04-23,3.59,3.59,3.43,3.43,6785
2024-04-22,3.4,3.89,3.4,3.64,45019
2024-04-19,3.13,3.5,3.06,3.49,22864
2024-04-18,3.17,3.37,3.06,3.3,6911
2024-04-17,3.42,3.43,3.01,3.15,33705
2024-04-16,3.54,3.62,3.44,3.47,9291
2024-04-15,3.71,3.85,3.42,3.55,26888
2024-04-12,4.0,4.0,3.57,3.61,22652
2024-04-11,3.8,4.05,3.79,3.94,27077
2024-04-10,3.65,4.1,3.65,3.95,86390
2024-04-09,4.03,4.42,3.62,3.62,67573
2024-04-08,3.73,4.4,3.56,4.3,208464
2024-04-05,4.58,4.94,3.69,3.71,88680
2024-04-04,5.06,5.1,4.56,4.58,19713
2024-04-03,5.36,5.38,5.03,5.05,16806
2024-04-02,5.4,5.7,5.29,5.36,14217
2024-04-01,5.57,5.72,5.5,5.58,10611
2024-03-28,5.51,5.7,5.51,5.61,12553
2024-03-27,5.75,5.75,5.51,5.51,17571
2024-03-26,5.7,5.8,5.65,5.69,21464
2024-03-25,5.74,5.91,5.63,5.75,14267
2024-03-22,5.8,5.86,5.62,5.64,16993
2024-03-21,5.71,5.91,5.7,5.87,20097
2024-03-20,5.57,6.0,5.57,5.72,34865
2024-03-19,5.6,6.0,5.54,5.76,144687
2024-03-18,5.9,6.08,5.5,5.6,76266
2024-03-15,6.1,6.23,5.79,5.79,30763
2024-03-14,6.02,6.15,5.78,6.05,50060
2024-03-13,5.94,6.17,5.88,6.09,44040
2024-03-12,5.79,5.98,5.75,5.88,44992
2024-03-11,5.89,6.13,5.67,5.96,46794
2024-03-08,6.27,6.5,5.86,6.0,87778
2024-03-07,7.54,9.4,6.26,6.3,771220
2024-03-06,6.38,6.63,5.88,6.53,177584
2024-03-05,5.87,6.57,5.76,6.5,159971
2024-03-04,6.25,6.58,5.94,5.97,59165
2024-03-01,6.57,6.69,6.19,6.19,68206
2024-02-29,6.8,7.36,6.55,6.7,73085
2024-02-28,6.86,7.27,6.72,6.78,39752
2024-02-27,7.72,7.75,6.91,6.99,66138
2024-02-26,6.7,7.31,6.7,7.08,84147
2024-02-23,7.19,7.23,6.7,6.76,33606
2024-02-22,7.85,7.86,6.91,7.18,74695
2024-02-21,8.22,8.35,7.76,7.86,68459
2024-02-20,8.0,9.8,7.78,8.56,465106
2024-02-16,8.19,8.3,7.69,7.78,77151
2024-02-15,8.78,9.11,8.19,8.44,54444
2024-02-14,9.02,9.55,8.88,8.96,49774
2024-02-13,9.74,10.0,8.85,9.02,102166
2024-02-12,8.71,10.13,8.55,9.94,242395
2024-02-09,9.02,9.58,8.7,8.84,81295
2024-02-08,9.1,9.74,8.51,8.98,141782
2024-02-07,10.46,11.0,8.52,9.2,165298
2024-02-06,10.49,11.05,10.49,10.51,125814
2024-02-05,11.77,11.9,10.68,10.87,347691
2024-02-02,14.01,19.65,12.5,12.6,1652537
2024-02-01,13.75,16.6,12.7,15.19,756306
2024-01-31,19.19,21.0,11.2,15.0,4842036
2024-01-30,8.5,28.69,8.36,14.73,18930428
2024-01-29,5.84,11.63,5.56,9.3,8062826
2024-01-26,5.12,5.43,5.1,5.35,59302
2024-01-25,5.19,5.49,4.84,5.14,117531
2024-01-24,5.0,5.45,5.0,5.18,119805
2024-01-23,5.51,5.61,5.0,5.0,111457
2024-01-22,6.39,6.45,5.31,5.66,207303
2024-01-19,8.25,8.79,7.0,7.0,233254
2024-01-18,8.86,9.4,8.32,8.37,207622
2024-01-17,9.61,10.2,8.31,8.72,191801
2024-01-16,10.41,11.44,9.62,10.15,204207
2024-01-12,11.89,13.46,9.31,9.96,640320
2024-01-11,12.3,13.38,11.22,11.69,925363
2024-01-10,11.2,14.61,10.55,11.9,3436171
2024-01-09,8.12,16.57,8.06,11.8,16964511
2024-01-08,6.34,9.44,6.31,7.57,6241990
2024-01-05,5.75,8.34,5.75,6.18,6988439
2024-01-04,6.11,6.2,5.3,5.9,1221974
2024-01-03,7.35,10.97,5.87,6.2,61512307
2024-01-02,2.32,2.6,2.32,2.38,20480
2023-12-29,2.22,2.22,2.08,2.22,20721
2023-12-28,2.1,2.21,2.07,2.17,22412
2023-12-27,2.26,2.26,2.11,2.12,8689
2023-12-26,2.34,2.57,2.18,2.18,34067
2023-12-22,2.33,2.59,2.26,2.33,39579
2023-12-21,2.29,2.36,2.25,2.25,14913
2023-12-20,2.59,2.68,2.23,2.26,80191
2023-12-19,2.36,2.68,2.36,2.6,60176
2023-12-18,2.48,2.49,2.35,2.44,19903
2023-12-15,3.11,3.34,2.31,2.46,96682
2023-12-14,3.13,3.31,3.1,3.16,10311
2023-12-13,3.1,3.21,3.1,3.19,27889
2023-12-12,3.38,3.52,3.1,3.32,38778
2023-12-11,3.51,3.74,3.34,3.48,81388
2023-12-08,3.58,3.83,3.37,3.68,59762
2023-12-07,3.59,3.96,3.34,3.79,79713
2023-12-06,3.25,4.0,3.25,3.68,259703
2023-12-05,3.7,3.75,3.32,3.46,321367
2023-12-04,4.59,4.59,3.58,4.07,1166408
2023-12-01,5.0,8.46,4.5,6.05,15580640
2023-11-30,1.89,2.7,1.75,2.48,310759
2023-11-29,1.36,1.91,1.26,1.73,213303
2023-11-28,1.55,1.7,1.43,1.46,29391
2023-11-27,1.83,2.09,1.77,1.78,4986
2023-11-24,1.89,1.98,1.25,1.79,34777
2023-11-22,2.04,2.05,1.91,1.92,12829
2023-11-21,2.34,2.6,2.05,2.05,15422
2023-11-20,2.42,2.52,2.35,2.41,9830
2023-11-17,2.36,2.64,2.35,2.48,8006
2023-11-16,2.44,2.65,2.4,2.49,8550
2023-11-15,2.71,2.82,2.33,2.44,31549
2023-11-14,2.62,3.04,2.5,2.82,61046
2023-11-13,2.57,2.73,2.57,2.68,3041
2023-11-10,2.91,2.91,2.52,2.56,4843
2023-11-09,2.95,2.95,2.81,2.81,6767
2023-11-08,2.93,2.98,2.77,2.8,15154
2023-11-07,2.77,3.0,2.68,2.88,14916
2023-11-06,2.58,3.04,2.58,2.76,34491
2023-11-03,2.3,3.98,2.3,2.93,343137
2023-11-02,3.62,3.72,3.5,3.72,4251
2023-11-01,3.63,3.63,3.63,3.63,540
2023-10-31,3.62,3.91,3.6,3.72,5336
2023-10-30,4.12,4.13,3.5,3.88,10417
2023-10-27,4.11,4.18,4.1,4.14,7259
2023-10-26,4.04,4.18,4.04,4.14,7149
2023-10-25,4.15,4.32,4.15,4.28,5057
2023-10-24,4.31,4.31,4.04,4.12,18253
2023-10-23,3.97,4.15,3.91,4.07,14202
2023-10-20,3.52,4.39,3.41,4.13,50084
2023-10-19,4.18,4.37,3.5,3.58,34648
2023-10-18,5.75,5.97,4.27,4.47,44473
2023-10-17,5.35,6.0,5.0,5.53,3008
2023-10-16,5.49,5.65,4.75,5.12,9592
2023-10-13,4.75,5.59,4.75,4.76,2233
2023-10-12,5.75,6.0,5.0,5.0,2715
2023-10-11,4.67,5.54,4.0,5.25,9657
2023-10-10,4.49,4.72,4.29,4.49,669
2023-10-09,4.98,4.98,3.75,4.49,1796
2023-10-06,4.55,4.84,4.25,4.63,1372
2023-10-05,4.25,4.91,4.13,4.4,1156
2023-10-04,4.93,4.93,4.3,4.5,4800
2023-10-03,5.07,5.15,4.75,4.93,3843
2023-10-02,5.75,5.75,5.0,5.22,1138
2023-09-29,5.25,5.25,5.0,5.25,1283
2023-09-28,4.88,5.58,4.88,5.12,523
2023-09-27,5.25,5.35,4.88,5.25,6604
2023-09-26,5.0,5.48,4.75,5.04,6550
2023-09-25,5.06,5.35,4.81,5.12,9803
2023-09-22,4.99,5.25,4.75,5.24,6083
2023-09-21,5.01,5.28,4.99,5.25,2370
2023-09-20,6.12,6.12,5.0,5.28,1314
2023-09-19,5.32,5.97,5.0,5.56,2288
2023-09-18,6.75,6.75,5.39,5.56,7733
2023-09-15,5.0,6.75,4.88,6.5,16110
2023-09-14,4.88,5.24,4.88,5.0,4610
2023-09-13,5.12,5.23,4.88,5.0,1612
2023-09-12,5.0,5.47,5.0,5.0,5304
2023-09-11,5.25,5.25,4.88,4.98,3087
2023-09-08,5.38,5.48,5.03,5.05,2529
2023-09-07,5.43,5.43,5.12,5.36,1608
2023-09-06,5.5,5.5,5.12,5.15,5843
2023-09-05,5.03,5.5,5.03,5.49,2486
2023-09-01,5.25,5.75,5.15,5.25,1717
2023-08-31,5.39,5.75,5.03,5.46,3040
2023-08-30,5.54,5.82,5.54,5.65,634
2023-08-29,5.12,5.87,5.03,5.28,1656
2023-08-28,5.12,5.25,5.03,5.25,2544
2023-08-25,5.75,5.88,5.0,5.03,5749
2023-08-24,6.1,6.23,5.76,5.88,1438
2023-08-23,6.0,6.0,5.75,5.82,468
2023-08-22,6.32,6.45,5.62,5.85,3339
2023-08-21,6.12,6.45,5.85,6.03,1653
2023-08-18,6.5,6.5,5.88,6.0,1176
2023-08-17,6.15,6.75,6.0,6.32,1471
2023-08-16,6.15,6.15,5.75,5.75,1620
2023-08-15,6.28,6.28,5.84,5.86,3959
2023-08-14,6.25,6.94,5.2,6.13,15001
2023-08-11,6.99,7.25,6.5,6.62,2759
2023-08-10,6.82,6.96,6.52,6.68,745
2023-08-09,6.33,6.72,6.33,6.38,526
2023-08-08,6.54,6.9,6.3,6.38,2586
2023-08-07,6.97,6.97,6.55,6.57,1492
2023-08-04,7.09,7.24,6.75,6.88,1139
2023-08-03,6.69,7.33,6.5,6.85,2798
2023-08-02,7.5,7.5,6.82,7.12,1788
2023-08-01,7.6,7.75,7.15,7.42,2029
2023-07-31,7.57,7.57,7.14,7.26,2578
2023-07-28,6.87,7.47,6.63,7.47,3202
2023-07-27,7.2,7.26,7.0,7.24,1385
2023-07-26,7.75,7.75,6.57,7.0,3376
2023-07-25,7.34,7.5,7.06,7.34,962
2023-07-24,7.25,7.5,7.04,7.45,4565
2023-07-21,7.47,7.5,7.25,7.25,1596
2023-07-20,7.75,7.75,7.05,7.25,1266
2023-07-19,7.25,7.5,7.25,7.25,1569
2023-07-18,7.75,7.75,7.13,7.5,3714
2023-07-17,7.0,7.45,6.75,7.45,6608
2023-07-14,6.89,7.1,6.78,6.78,3500
2023-07-13,7.25,7.43,6.55,7.1,11403
2023-07-12,7.07,7.45,6.75,7.41,3663
2023-07-11,7.25,7.27,6.55,7.07,3191
2023-07-10,6.88,7.47,6.78,7.02,1404
2023-07-07,7.24,7.25,6.53,7.1,3942
