Date,Open,High,Low,Close,Volume
2025-03-13,3.29,3.45,3.28,3.42,1001142
2025-03-12,3.26,3.31,3.15,3.26,2473500
2025-03-11,3.35,3.41,3.25,3.28,2708700
2025-03-10,3.54,3.54,3.24,3.28,2692500
2025-03-07,3.35,3.6,3.33,3.57,3428100
2025-03-06,3.28,3.38,3.27,3.34,2970600
2025-03-05,3.09,3.35,3.09,3.3,3311300
2025-03-04,3.09,3.14,3.03,3.1,1745900
2025-03-03,3.07,3.13,3.03,3.04,1763600
2025-02-28,2.93,3.01,2.91,3.0,1531600
2025-02-27,3.01,3.02,2.94,2.95,1257600
2025-02-26,2.95,3.06,2.94,3.03,1368300
2025-02-25,2.94,3.01,2.92,2.97,2066100
2025-02-24,3.07,3.08,2.88,2.99,3222600
2025-02-21,3.25,3.25,3.01,3.04,2207100
2025-02-20,3.19,3.28,3.16,3.24,1592700
2025-02-19,3.2,3.23,3.12,3.18,2138100
2025-02-18,3.21,3.24,3.15,3.22,1635000
2025-02-14,3.36,3.4,3.15,3.15,1639600
2025-02-13,3.28,3.36,3.22,3.35,1431100
2025-02-12,3.15,3.28,3.12,3.27,1795900
2025-02-11,3.21,3.28,3.14,3.16,2040300
2025-02-10,3.22,3.27,3.14,3.26,2138500
2025-02-07,3.33,3.35,3.14,3.17,2623800
2025-02-06,3.2,3.39,3.15,3.33,3322800
2025-02-05,3.27,3.32,3.18,3.2,3965600
2025-02-04,3.22,3.25,3.14,3.22,1351500
2025-02-03,3.13,3.26,3.07,3.2,2223800
2025-01-31,3.14,3.23,3.1,3.13,1841300
2025-01-30,3.13,3.25,3.1,3.13,1628800
2025-01-29,3.03,3.14,3.02,3.08,1487600
2025-01-28,2.98,3.1,2.98,3.06,1749000
2025-01-27,2.97,3.02,2.87,3.01,2313600
2025-01-24,3.15,3.25,2.9,3.0,3742500
2025-01-23,3.17,3.33,3.1,3.15,3635100
2025-01-22,3.31,3.34,3.2,3.22,2638400
2025-01-21,3.33,3.35,3.27,3.3,1433000
2025-01-17,3.29,3.32,3.25,3.28,1411500
2025-01-16,3.33,3.35,3.24,3.3,2067200
2025-01-15,3.38,3.39,3.3,3.31,1660200
