Date,Open,High,Low,Close,Volume
2025-03-19,4.64,4.73,4.62,4.66,112524
2025-03-18,4.65,4.75,4.64,4.65,182300
2025-03-17,4.55,4.72,4.53,4.6,326500
2025-03-14,4.52,4.71,4.52,4.66,419400
2025-03-13,4.49,4.71,4.49,4.53,248800
2025-03-12,4.61,4.76,4.53,4.53,321700
2025-03-11,4.75,4.8,4.55,4.68,261100
2025-03-10,4.75,4.85,4.71,4.74,335600
2025-03-07,4.74,4.86,4.65,4.75,223200
2025-03-06,4.71,4.77,4.51,4.73,228600
2025-03-05,4.68,4.78,4.57,4.72,370500
2025-03-04,4.54,4.78,4.54,4.69,681000
2025-03-03,4.82,4.89,4.64,4.64,912800
2025-02-28,4.53,4.85,4.53,4.83,465000
2025-02-27,4.58,4.72,4.52,4.6,791100
2025-02-26,4.63,4.7,4.49,4.55,173200
2025-02-25,4.58,4.67,4.55,4.65,287600
2025-02-24,4.9,4.9,4.54,4.63,380400
2025-02-21,4.9,4.93,4.72,4.77,671200
2025-02-20,4.92,4.92,4.81,4.89,91200
2025-02-19,4.97,5.04,4.86,4.88,413000
2025-02-18,4.96,5.08,4.87,4.95,522800
2025-02-14,4.52,4.92,4.52,4.89,1601500
2025-02-13,4.25,4.68,4.25,4.51,1226600
2025-02-12,4.37,4.41,4.21,4.21,832400
2025-02-11,4.99,5.12,4.3,4.37,1127100
2025-02-10,5.55,5.73,5.5,5.5,530200
2025-02-07,5.58,5.66,5.5,5.52,334500
2025-02-06,5.6,5.62,5.46,5.54,199800
2025-02-05,5.6,5.71,5.55,5.62,275900
2025-02-04,5.44,5.65,5.37,5.62,935800
2025-02-03,5.42,5.48,5.28,5.41,429400
2025-01-31,5.54,5.54,5.32,5.48,698200
2025-01-30,5.31,5.56,5.31,5.56,1281800
2025-01-29,5.42,5.47,5.29,5.38,218300
2025-01-28,5.14,5.49,5.14,5.47,304500
2025-01-27,5.37,5.37,5.13,5.23,382500
2025-01-24,5.48,5.56,5.37,5.37,340000
2025-01-23,5.36,5.58,5.32,5.52,439400
2025-01-22,5.35,5.42,5.3,5.37,251400
2025-01-21,5.25,5.38,5.15,5.35,328400
2025-01-17,5.36,5.39,5.22,5.26,106600
2025-01-16,5.31,5.43,5.27,5.35,71800
2025-01-15,5.45,5.51,5.27,5.39,186300
2025-01-14,5.33,5.7,5.3,5.48,422300
2025-01-13,5.3,5.33,5.13,5.3,477300
2025-01-10,5.2,5.44,5.13,5.3,268500
2025-01-08,5.05,5.11,4.88,5.11,241800
2025-01-07,5.0,5.13,4.78,5.05,294700
2025-01-06,5.28,5.39,5.0,5.05,106500
2025-01-03,5.2,5.37,5.14,5.31,676100
2025-01-02,5.0,5.23,4.95,5.18,683200
2024-12-31,4.84,5.0,4.74,4.99,182700
2024-12-30,4.75,4.83,4.63,4.81,235700
2024-12-27,4.61,4.77,4.58,4.74,246300
2024-12-26,4.77,4.79,4.63,4.7,204400
2024-12-24,4.78,4.8,4.73,4.77,73700
2024-12-23,4.74,4.77,4.7,4.75,113000
2024-12-20,4.75,4.82,4.71,4.71,276700
2024-12-19,4.84,4.85,4.72,4.77,165200
2024-12-18,4.7,4.93,4.67,4.75,151100
2024-12-17,4.6,4.84,4.57,4.81,1058800
2024-12-16,4.63,4.72,4.6,4.66,94500
2024-12-13,4.65,4.81,4.62,4.65,542700
2024-12-12,4.68,4.76,4.57,4.67,551700
2024-12-11,4.63,4.78,4.55,4.71,411800
2024-12-10,4.57,4.74,4.56,4.61,364800
2024-12-09,4.58,4.66,4.55,4.55,119400
2024-12-06,4.75,4.75,4.51,4.54,165400
2024-12-05,4.64,4.84,4.64,4.72,68500
2024-12-04,4.77,4.82,4.62,4.7,88900
2024-12-03,4.67,4.79,4.67,4.76,69500
2024-12-02,4.65,4.75,4.49,4.72,265100
2024-11-29,4.87,4.93,4.79,4.82,19100
2024-11-27,4.78,4.9,4.75,4.83,111600
2024-11-26,4.59,4.83,4.55,4.74,181200
