Date,Open,High,Low,Close,Volume
2025-03-13,2.66,2.74,2.51,2.74,68425
2025-03-12,2.68,2.74,2.53,2.68,115100
2025-03-11,2.6,2.7,2.48,2.61,120600
2025-03-10,2.87,2.9,2.57,2.64,154900
2025-03-07,2.95,3.0,2.82,2.96,82900
2025-03-06,3.06,3.22,2.86,2.97,208700
2025-03-05,2.85,2.95,2.76,2.92,95400
2025-03-04,2.8,2.9,2.62,2.82,191500
2025-03-03,3.12,3.17,2.78,2.82,154200
2025-02-28,3.1,3.23,2.94,3.14,178900
2025-02-27,3.45,3.61,3.11,3.15,155300
2025-02-26,3.41,3.52,3.15,3.46,156900
2025-02-25,3.67,3.67,3.12,3.27,287700
2025-02-24,3.97,3.97,3.5,3.71,309900
2025-02-21,4.0,4.34,3.8,3.92,1359600
2025-02-20,3.55,3.78,3.26,3.73,832000
2025-02-19,3.62,3.65,3.27,3.46,229900
2025-02-18,3.78,3.81,3.52,3.6,266900
2025-02-14,4.14,4.17,3.64,3.76,449500
2025-02-13,4.34,4.34,3.95,4.1,244200
2025-02-12,4.0,4.17,3.86,4.12,205900
2025-02-11,4.46,4.46,4.0,4.03,358100
2025-02-10,4.25,4.88,4.11,4.39,801500
2025-02-07,4.17,4.18,3.9,4.06,114100
2025-02-06,4.3,4.3,4.02,4.13,148800
2025-02-05,4.3,4.35,4.07,4.3,246200
2025-02-04,3.63,4.4,3.6,4.3,661400
2025-02-03,3.6,3.61,3.36,3.52,159100
2025-01-31,3.57,3.77,3.57,3.66,152800
2025-01-30,3.46,3.71,3.4,3.56,89800
2025-01-29,3.41,3.55,3.33,3.45,77500
2025-01-28,3.55,3.55,3.26,3.39,164000
2025-01-27,3.67,3.75,3.39,3.52,307900
2025-01-24,3.9,3.97,3.8,3.92,173500
2025-01-23,3.96,3.97,3.7,3.95,179800
2025-01-22,4.3,4.32,3.83,3.98,416700
2025-01-21,4.23,4.33,3.75,4.3,545900
2025-01-17,3.67,4.2,3.51,4.09,820300
2025-01-16,3.3,3.65,3.21,3.61,173200
2025-01-15,3.17,3.35,3.13,3.29,97200
2025-01-14,3.13,3.19,3.06,3.09,38300
2025-01-13,3.09,3.16,3.05,3.1,93200
2025-01-10,3.17,3.31,3.1,3.16,103400
2025-01-08,3.62,3.62,3.2,3.25,115100
2025-01-07,3.58,3.74,3.4,3.61,165000
2025-01-06,3.78,3.8,3.48,3.52,146600
2025-01-03,3.55,3.79,3.45,3.78,270400
2025-01-02,3.41,3.85,3.41,3.6,329600
2024-12-31,3.52,3.66,3.34,3.35,131200
2024-12-30,3.35,3.8,3.33,3.53,274100
2024-12-27,3.4,3.45,3.15,3.38,233800
2024-12-26,2.92,3.48,2.88,3.4,346700
2024-12-24,2.88,2.97,2.83,2.92,46400
2024-12-23,3.0,3.04,2.82,2.88,107500
2024-12-20,2.9,3.1,2.75,3.1,234600
2024-12-19,2.53,2.95,2.52,2.9,316600
2024-12-18,2.62,2.62,2.46,2.46,123300
2024-12-17,2.63,2.68,2.44,2.62,133700
2024-12-16,2.72,2.72,2.52,2.61,97200
2024-12-13,2.75,2.75,2.52,2.69,44000
2024-12-12,2.74,2.8,2.61,2.73,74200
2024-12-11,2.62,2.75,2.61,2.74,63500
2024-12-10,2.79,2.85,2.56,2.63,113600
2024-12-09,2.71,2.98,2.7,2.75,210300
2024-12-06,2.42,2.75,2.38,2.68,323100
2024-12-05,2.4,2.41,2.3,2.41,62100
2024-12-04,2.35,2.35,2.22,2.31,60200
2024-12-03,2.42,2.42,2.29,2.29,47000
2024-12-02,2.37,2.42,2.33,2.42,32600
2024-11-29,2.44,2.45,2.3,2.37,57500
2024-11-27,2.33,2.38,2.26,2.3,77600
2024-11-26,2.34,2.4,2.3,2.35,51800
2024-11-25,2.3,2.5,2.29,2.32,111900
2024-11-22,2.46,2.47,2.24,2.33,283300
2024-11-21,2.38,2.45,2.25,2.44,59900
2024-11-20,2.36,2.37,2.32,2.33,25400
2024-11-19,2.39,2.46,2.36,2.36,28800
2024-11-18,2.39,2.48,2.3,2.39,51500
2024-11-15,2.36,2.4,2.3,2.39,44700
2024-11-14,2.38,2.38,2.3,2.33,61800
2024-11-13,2.43,2.46,2.33,2.36,81600
2024-11-12,2.38,2.62,2.3,2.38,188900
2024-11-11,2.6,2.66,2.4,2.43,100400
2024-11-08,2.42,2.67,2.4,2.67,117400
2024-11-07,2.37,2.44,2.32,2.38,37700
2024-11-06,2.24,2.4,2.2,2.36,105800
2024-11-05,2.25,2.3,2.2,2.25,42900
2024-11-04,2.29,2.35,2.26,2.26,48800
2024-11-01,2.32,2.44,2.27,2.31,19900
2024-10-31,2.31,2.34,2.23,2.3,50300
2024-10-30,2.4,2.43,2.29,2.29,23600
2024-10-29,2.5,2.5,2.36,2.37,20700
2024-10-28,2.4,2.5,2.37,2.44,39300
2024-10-25,2.43,2.46,2.37,2.4,22500
2024-10-24,2.33,2.51,2.33,2.41,40300
2024-10-23,2.37,2.44,2.27,2.35,74600
2024-10-22,2.6,2.62,2.25,2.35,96100
2024-10-21,2.58,2.7,2.54,2.58,44700
2024-10-18,2.63,2.7,2.55,2.61,59300
2024-10-17,2.73,2.78,2.56,2.62,45100
2024-10-16,2.42,2.71,2.42,2.7,123500
2024-10-15,2.57,2.64,2.37,2.41,57200
2024-10-14,2.37,2.69,2.37,2.59,68400
2024-10-11,2.33,2.48,2.29,2.36,71700
2024-10-10,2.42,2.53,2.29,2.32,64900
2024-10-09,2.76,2.77,2.41,2.45,119500
2024-10-08,2.66,2.88,2.6,2.75,199900
2024-10-07,2.42,2.69,2.42,2.64,142900
2024-10-04,2.57,2.57,2.39,2.41,59000
2024-10-03,2.34,2.6,2.34,2.49,130000
2024-10-02,2.27,2.33,2.22,2.29,24900
2024-10-01,2.38,2.38,2.25,2.25,36500
2024-09-30,2.36,2.48,2.33,2.39,74600
2024-09-27,2.15,2.34,2.12,2.32,67200
2024-09-26,2.1,2.2,2.07,2.12,32800
2024-09-25,2.1,2.14,2.07,2.09,26700
2024-09-24,2.15,2.16,2.06,2.11,32700
2024-09-23,2.2,2.2,2.06,2.12,29200
2024-09-20,2.11,2.18,2.08,2.17,45700
2024-09-19,2.18,2.25,2.09,2.12,50800
2024-09-18,2.15,2.2,2.09,2.13,52400
2024-09-17,2.2,2.2,2.14,2.15,49400
2024-09-16,2.2,2.34,2.15,2.18,43500
2024-09-13,2.25,2.3,2.18,2.19,55400
2024-09-12,2.21,2.29,2.21,2.23,61400
2024-09-11,2.21,2.24,2.15,2.2,53800
2024-09-10,2.14,2.22,2.14,2.2,49300
2024-09-09,2.24,2.26,2.12,2.17,35400
2024-09-06,2.31,2.34,2.17,2.25,29600
2024-09-05,2.35,2.42,2.29,2.31,37500
2024-09-04,2.38,2.43,2.27,2.36,51400
2024-09-03,2.51,2.59,2.26,2.38,120700
2024-08-30,2.58,2.58,2.44,2.5,103100
2024-08-29,2.7,2.79,2.45,2.52,296000
2024-08-28,2.72,3.09,2.6,2.71,951400
2024-08-27,2.2,2.71,2.15,2.58,1003500
2024-08-26,2.04,2.2,2.03,2.05,35700
2024-08-23,2.14,2.2,2.06,2.07,55300
2024-08-22,2.05,2.15,2.04,2.14,138300
2024-08-21,2.07,2.07,1.98,2.03,19300
2024-08-20,2.03,2.1,1.98,2.0,54300
2024-08-19,2.03,2.1,1.98,2.04,54600
2024-08-16,1.98,2.16,1.98,2.09,103100
2024-08-15,2.01,2.09,1.96,2.0,59700
2024-08-14,1.97,2.15,1.92,2.0,158200
2024-08-13,1.94,2.01,1.86,1.9,90700
2024-08-12,1.97,2.04,1.82,1.87,85100
2024-08-09,2.01,2.09,1.96,1.96,227700
2024-08-08,2.19,2.26,2.13,2.17,48800
2024-08-07,2.21,2.24,2.1,2.11,22700
2024-08-06,2.1,2.34,2.01,2.19,48500
2024-08-05,2.03,2.12,2.0,2.0,69100
2024-08-02,2.17,2.23,2.13,2.16,58500
2024-08-01,2.23,2.26,2.14,2.17,19700
2024-07-31,2.2,2.35,2.2,2.22,36100
2024-07-30,2.27,2.34,2.22,2.22,46800
2024-07-29,2.27,2.3,2.22,2.24,56900
2024-07-26,2.35,2.35,2.25,2.27,20900
2024-07-25,2.33,2.42,2.25,2.33,30300
2024-07-24,2.35,2.4,2.31,2.36,48400
2024-07-23,2.3,2.39,2.25,2.34,20100
2024-07-22,2.3,2.39,2.23,2.32,30500
2024-07-19,2.26,2.33,2.22,2.28,45300
2024-07-18,2.38,2.53,2.2,2.26,90200
2024-07-17,2.47,2.5,2.27,2.38,37500
2024-07-16,2.5,2.56,2.42,2.48,95900
2024-07-15,2.34,2.5,2.32,2.46,65400
2024-07-12,2.32,2.38,2.25,2.37,52100
2024-07-11,2.29,2.31,2.25,2.27,36400
2024-07-10,2.23,2.38,2.21,2.25,59000
2024-07-09,2.2,2.26,2.18,2.21,32400
2024-07-08,2.23,2.29,2.21,2.21,35600
2024-07-05,2.24,2.26,2.18,2.23,33000
2024-07-03,2.18,2.28,2.16,2.19,79600
2024-07-02,2.25,2.5,2.2,2.2,67700
2024-07-01,2.4,2.44,2.2,2.23,55400
2024-06-28,2.31,2.51,2.3,2.41,41000
2024-06-27,2.38,2.38,2.23,2.3,35600
2024-06-26,2.35,2.36,2.21,2.36,85100
2024-06-25,2.46,2.5,2.34,2.35,51500
2024-06-24,2.53,2.6,2.45,2.46,68000
2024-06-21,2.75,2.81,2.52,2.56,103100
2024-06-20,2.65,2.87,2.64,2.67,148700
2024-06-18,2.7,2.88,2.59,2.63,189100
2024-06-17,2.57,2.73,2.5,2.63,160500
2024-06-14,2.53,2.53,2.35,2.47,61600
