Date,Open,High,Low,Close,Volume
2025-03-21,0.73,0.73,0.73,0.73,5000
2025-03-20,0.73,0.73,0.73,0.73,0
2025-03-19,0.73,0.73,0.73,0.73,0
2025-03-18,0.73,0.73,0.73,0.73,2200
2025-03-17,0.71,0.71,0.71,0.71,700
2025-03-14,0.7,0.7,0.7,0.7,0
2025-03-13,0.7,0.7,0.7,0.7,1000
2025-03-12,0.7,0.7,0.7,0.7,0
2025-03-11,0.7,0.7,0.7,0.7,2000
2025-03-10,0.7,0.7,0.7,0.7,0
2025-03-07,0.7,0.7,0.7,0.7,0
2025-03-06,0.7,0.7,0.69,0.7,2100
2025-03-05,0.7,0.7,0.7,0.7,2400
2025-03-04,0.69,0.69,0.69,0.69,0
2025-03-03,0.69,0.69,0.69,0.69,0
2025-02-28,0.7,0.7,0.69,0.69,3100
2025-02-27,0.71,0.71,0.71,0.71,0
2025-02-26,0.71,0.71,0.71,0.71,0
2025-02-25,0.71,0.71,0.71,0.71,0
2025-02-24,0.71,0.71,0.71,0.71,10000
2025-02-21,0.7,0.7,0.7,0.7,0
2025-02-20,0.7,0.7,0.7,0.7,2000
2025-02-19,0.71,0.71,0.71,0.71,14400
2025-02-18,0.71,0.71,0.71,0.71,8100
2025-02-14,0.72,0.72,0.72,0.72,1000
2025-02-13,0.73,0.73,0.71,0.71,5200
2025-02-12,0.73,0.73,0.71,0.71,1600
2025-02-11,0.73,0.73,0.73,0.73,500
2025-02-10,0.72,0.72,0.72,0.72,0
2025-02-07,0.71,0.72,0.69,0.72,18600
2025-02-06,0.7,0.72,0.7,0.72,700
2025-02-05,0.7,0.7,0.7,0.7,1600
2025-02-04,0.73,0.73,0.73,0.73,0
2025-02-03,0.73,0.73,0.73,0.73,200
2025-01-31,0.72,0.72,0.72,0.72,600
2025-01-30,0.74,0.74,0.74,0.74,0
2025-01-29,0.74,0.74,0.74,0.74,0
2025-01-28,0.74,0.74,0.74,0.74,0
2025-01-27,0.74,0.74,0.74,0.74,1000
2025-01-24,0.73,0.73,0.73,0.73,1900
2025-01-23,0.75,0.75,0.74,0.74,3000
2025-01-22,0.74,0.74,0.74,0.74,0
2025-01-21,0.74,0.74,0.74,0.74,0
2025-01-17,0.74,0.74,0.74,0.74,0
2025-01-16,0.74,0.74,0.74,0.74,0
2025-01-15,0.74,0.74,0.74,0.74,0
2025-01-14,0.8,0.8,0.72,0.74,1600
2025-01-13,0.79,0.79,0.79,0.79,0
2025-01-10,0.79,0.79,0.79,0.79,7000
2025-01-08,0.77,0.77,0.77,0.77,20800
2025-01-07,0.72,0.72,0.72,0.72,0
2025-01-06,0.72,0.72,0.72,0.72,0
2025-01-03,0.72,0.72,0.72,0.72,0
2025-01-02,0.72,0.72,0.72,0.72,0
2024-12-31,0.72,0.72,0.72,0.72,100
2024-12-30,0.8,0.8,0.8,0.8,0
2024-12-27,0.8,0.8,0.8,0.8,0
2024-12-26,0.8,0.8,0.8,0.8,400
2024-12-24,0.77,0.77,0.77,0.77,0
2024-12-23,0.77,0.77,0.77,0.77,600
2024-12-20,0.79,0.79,0.76,0.76,19800
2024-12-19,0.78,0.84,0.78,0.78,4000
2024-12-18,0.8,0.8,0.8,0.8,0
2024-12-17,0.78,0.8,0.78,0.8,300
2024-12-16,0.8,0.8,0.78,0.78,7700
2024-12-13,0.84,0.84,0.84,0.84,0
2024-12-12,0.84,0.84,0.84,0.84,0
2024-12-11,0.84,0.84,0.84,0.84,300
2024-12-10,0.78,0.78,0.78,0.78,0
2024-12-09,0.78,0.78,0.78,0.78,0
2024-12-06,0.78,0.78,0.78,0.78,0
2024-12-05,0.78,0.78,0.78,0.78,2000
2024-12-04,0.82,0.84,0.82,0.84,2700
2024-12-03,0.84,0.84,0.84,0.84,2000
2024-12-02,0.83,0.83,0.83,0.83,0
2024-11-29,0.78,0.83,0.78,0.83,1200
2024-11-27,0.82,0.82,0.82,0.82,0
2024-11-26,0.82,0.82,0.82,0.82,0
2024-11-25,0.82,0.82,0.82,0.82,0
2024-11-22,0.82,0.82,0.82,0.82,0
2024-11-21,0.82,0.82,0.82,0.82,0
2024-11-20,0.82,0.82,0.82,0.82,0
2024-11-19,0.82,0.82,0.82,0.82,0
2024-11-18,0.82,0.82,0.82,0.82,300
2024-11-15,0.76,0.76,0.76,0.76,3400
2024-11-14,0.8,0.8,0.8,0.8,0
2024-11-13,0.81,0.81,0.8,0.8,20500
2024-11-12,0.84,0.84,0.84,0.84,4900
2024-11-11,0.84,0.84,0.84,0.84,5500
2024-11-08,0.85,0.85,0.85,0.85,0
2024-11-07,0.85,0.85,0.85,0.85,0
2024-11-06,0.85,0.85,0.85,0.85,0
2024-11-05,0.85,0.85,0.85,0.85,0
2024-11-04,0.85,0.85,0.85,0.85,0
2024-11-01,0.85,0.85,0.85,0.85,0
2024-10-31,0.85,0.85,0.85,0.85,100
2024-10-30,0.85,0.85,0.85,0.85,0
2024-10-29,0.84,0.85,0.84,0.85,5700
2024-10-28,0.85,0.85,0.85,0.85,0
