Date,Open,High,Low,Close,Volume
2025-03-20,64.69,65.96,63.75,63.86,158738
2025-03-19,63.97,66.31,63.72,65.49,313300
2025-03-18,64.02,65.58,63.07,64.0,202700
2025-03-17,63.86,64.64,63.21,64.36,206300
2025-03-14,63.08,64.79,63.08,64.08,220500
2025-03-13,63.64,64.69,62.05,62.57,164000
2025-03-12,65.24,65.97,63.24,63.32,204200
2025-03-11,66.42,66.53,64.88,64.94,227400
2025-03-10,64.91,66.64,64.01,66.42,205400
2025-03-07,64.17,66.06,63.77,65.58,184600
2025-03-06,63.73,64.44,63.12,64.17,187700
2025-03-05,63.05,64.61,62.76,64.33,226700
2025-03-04,62.23,64.16,61.91,62.95,263200
2025-03-03,64.48,65.36,62.55,62.88,270800
2025-02-28,63.73,65.7,63.43,64.38,222900
2025-02-27,65.73,66.44,63.79,63.85,195300
2025-02-26,66.97,68.71,65.47,66.11,333000
2025-02-25,66.92,67.58,65.59,66.69,297700
2025-02-24,66.68,67.23,65.46,66.89,258700
2025-02-21,69.54,70.06,66.44,66.5,234600
2025-02-20,69.74,69.86,68.97,69.06,181700
2025-02-19,68.87,70.19,68.59,70.05,216100
2025-02-18,70.08,70.31,68.8,69.73,209900
2025-02-14,70.51,70.7,69.65,70.31,117500
2025-02-13,68.5,69.96,68.5,69.77,148300
2025-02-12,68.01,68.87,67.09,68.44,264800
2025-02-11,70.04,72.09,68.5,69.06,216400
2025-02-10,71.02,71.44,69.65,70.64,347500
2025-02-07,70.9,71.71,69.9,70.43,493500
2025-02-06,71.25,74.0,67.72,70.29,450500
2025-02-05,80.4,81.97,80.3,80.93,289300
2025-02-04,79.02,81.19,78.61,80.21,174200
2025-02-03,78.38,79.46,76.96,79.45,202100
2025-01-31,79.4,81.35,79.03,79.9,164800
2025-01-30,79.95,80.75,78.98,79.1,118900
2025-01-29,78.87,79.98,78.02,78.69,128300
2025-01-28,78.84,79.29,78.23,79.06,105000
2025-01-27,80.53,81.65,78.58,78.91,138600
2025-01-24,80.29,81.87,79.48,81.32,180300
2025-01-23,79.7,81.3,79.17,80.68,205000
2025-01-22,82.19,83.72,80.35,80.5,202000
2025-01-21,80.92,82.42,80.82,82.23,179100
2025-01-17,80.83,81.17,79.77,80.06,142200
2025-01-16,79.49,80.87,79.06,80.13,123300
2025-01-15,80.09,80.24,78.68,79.44,230700
2025-01-14,78.76,79.34,77.43,78.17,161800
2025-01-13,75.69,77.69,75.21,77.34,210900
2025-01-10,74.26,76.97,74.26,76.34,232700
2025-01-08,73.59,76.17,73.59,75.94,172900
2025-01-07,74.85,75.36,73.96,74.43,149900
2025-01-06,75.47,76.49,74.3,74.45,177900
2025-01-03,74.25,74.5,73.36,74.4,240100
2025-01-02,74.75,74.75,73.01,74.0,309300
2024-12-31,73.38,74.6,72.55,73.88,330700
2024-12-30,73.21,75.49,71.76,73.17,205300
2024-12-27,73.45,74.57,72.57,73.5,159300
2024-12-26,73.82,74.54,73.52,74.18,127200
2024-12-24,73.5,73.9,73.17,73.87,70100
2024-12-23,73.82,74.45,73.0,73.7,134900
2024-12-20,73.07,75.48,72.77,74.0,571700
2024-12-19,75.33,76.31,73.82,73.9,245700
2024-12-18,78.42,78.72,73.67,74.23,232700
2024-12-17,77.61,78.49,76.77,77.63,225700
2024-12-16,76.99,79.46,76.12,78.06,229300
2024-12-13,78.74,79.12,76.79,77.14,242400
2024-12-12,79.86,80.34,77.8,78.4,182400
2024-12-11,79.75,81.05,78.72,80.16,289900
2024-12-10,79.56,80.16,78.12,79.1,124400
2024-12-09,81.37,82.0,79.49,79.64,138900
2024-12-06,80.37,81.63,78.68,81.24,129000
2024-12-05,80.87,80.94,79.15,79.18,120900
2024-12-04,80.87,81.75,80.18,81.18,216300
2024-12-03,82.58,83.44,80.95,81.17,156900
2024-12-02,80.37,83.32,80.19,83.08,145300
2024-11-29,80.87,81.69,80.61,80.86,72800
2024-11-27,83.21,83.96,80.24,80.81,103500
2024-11-26,82.49,84.02,82.07,82.7,215200
2024-11-25,83.97,85.28,82.76,83.21,193500
2024-11-22,80.86,83.04,80.86,82.47,166900
2024-11-21,81.6,82.77,80.1,80.33,126300
2024-11-20,79.16,80.72,78.73,80.72,123000
2024-11-19,78.4,79.93,78.0,79.53,153200
2024-11-18,78.58,79.72,78.04,79.51,186800
2024-11-15,81.21,81.61,78.06,78.62,172600
2024-11-14,80.62,82.08,79.93,80.47,267000
2024-11-13,85.0,87.02,79.47,79.98,436300
2024-11-12,97.23,97.53,94.95,95.22,199700
2024-11-11,100.13,100.89,97.13,97.4,150800
2024-11-08,98.51,99.97,97.66,98.5,219700
2024-11-07,97.75,101.35,97.23,98.57,231700
2024-11-06,106.98,106.98,97.79,98.0,325100
2024-11-05,88.12,90.42,88.12,89.8,189100
2024-11-04,88.6,89.93,88.37,88.58,219400
2024-11-01,89.13,91.07,89.04,89.13,174500
2024-10-31,95.09,95.75,88.71,88.95,185600
2024-10-30,97.37,98.79,95.68,95.71,118000
2024-10-29,96.37,98.6,96.35,97.94,78500
2024-10-28,98.24,99.07,97.26,97.32,109300
2024-10-25,98.33,99.25,97.31,97.59,74000
2024-10-24,97.9,98.58,97.41,97.64,130700
2024-10-23,96.19,97.62,96.12,97.59,109100
2024-10-22,96.8,97.74,95.94,96.96,109600
2024-10-21,97.71,98.23,96.67,97.47,84900
2024-10-18,99.58,99.77,98.06,98.18,82500
2024-10-17,98.98,100.23,96.14,99.42,106900
2024-10-16,102.02,102.58,98.32,99.05,198600
2024-10-15,101.26,102.99,101.05,101.12,106800
2024-10-14,100.4,101.89,100.36,101.67,76200
2024-10-11,98.55,100.33,97.86,100.02,66700
2024-10-10,98.06,98.43,96.96,98.19,134500
2024-10-09,98.07,100.47,97.95,99.53,103400
2024-10-08,97.78,99.25,96.87,98.53,56300
2024-10-07,97.55,98.68,96.41,97.26,97600
2024-10-04,96.5,98.31,96.14,98.3,109200
2024-10-03,94.9,95.82,94.34,95.04,76700
2024-10-02,95.18,96.32,94.58,95.32,118200
2024-10-01,98.25,99.17,94.86,95.38,175500
2024-09-30,98.78,100.14,97.87,98.34,243400
2024-09-27,98.82,99.85,97.98,98.82,118400
2024-09-26,98.0,99.05,97.06,98.05,171500
2024-09-25,98.32,98.84,95.87,96.5,163700
2024-09-24,98.84,99.05,97.73,97.94,148800
2024-09-23,99.12,99.9,97.17,98.33,128100
2024-09-20,100.95,102.32,98.81,98.92,850500
2024-09-19,99.52,101.08,98.4,101.07,188200
2024-09-18,95.0,99.57,95.0,96.66,281200
2024-09-17,94.71,96.49,94.31,95.2,163900
2024-09-16,91.15,93.42,90.13,93.3,169400
2024-09-13,89.33,91.67,89.22,91.33,147800
2024-09-12,87.37,88.52,86.05,88.22,105800
2024-09-11,86.9,87.41,85.11,86.99,104900
2024-09-10,88.61,89.21,86.96,87.54,112100
2024-09-09,88.33,89.48,88.0,88.56,123400
2024-09-06,89.61,89.98,87.34,88.18,122100
2024-09-05,90.16,90.45,88.68,89.66,95000
2024-09-04,89.84,90.59,89.16,90.21,76000
2024-09-03,94.91,95.44,89.82,89.99,144300
2024-08-30,95.17,96.61,94.65,95.96,135800
2024-08-29,94.44,95.43,93.83,94.79,97900
2024-08-28,94.05,94.71,93.58,94.24,161400
2024-08-27,94.13,95.25,93.92,94.28,92800
2024-08-26,96.81,96.81,94.67,95.01,110700
2024-08-23,92.11,95.92,91.52,95.51,163300
2024-08-22,94.1,96.75,91.31,91.5,154700
2024-08-21,92.13,94.45,91.54,94.03,127600
2024-08-20,91.89,92.05,90.53,91.25,129000
2024-08-19,91.57,92.54,91.13,92.23,129300
2024-08-16,91.74,92.79,90.5,91.67,163100
2024-08-15,91.5,92.63,90.45,91.93,140500
2024-08-14,89.95,90.04,87.91,89.05,111900
2024-08-13,87.03,89.88,86.77,89.75,229100
2024-08-12,86.24,86.96,85.25,86.04,125700
2024-08-09,85.57,86.98,85.15,86.52,136500
2024-08-08,85.62,86.56,84.34,85.9,176300
2024-08-07,83.26,88.77,82.3,84.79,354700
2024-08-06,79.14,81.66,78.94,79.91,208500
2024-08-05,78.19,80.25,76.82,79.32,203200
2024-08-02,83.59,84.86,82.02,82.37,176000
2024-08-01,92.2,92.42,86.13,87.3,174200
2024-07-31,92.27,93.48,90.22,91.92,163400
2024-07-30,91.06,91.92,89.14,91.42,157300
2024-07-29,91.31,91.31,89.59,90.55,320900
2024-07-26,89.23,91.41,87.89,91.02,240400
2024-07-25,85.9,88.83,85.9,87.95,132100
2024-07-24,87.18,88.5,85.42,85.61,195400
2024-07-23,85.84,89.09,85.82,87.66,224900
2024-07-22,82.85,86.61,82.65,86.38,213000
2024-07-19,81.93,82.94,81.61,82.4,232900
2024-07-18,81.12,83.04,80.29,81.8,167000
2024-07-17,82.07,83.28,80.69,81.42,144300
2024-07-16,79.92,83.22,79.9,82.77,262100
2024-07-15,77.84,80.41,77.42,79.0,319900
2024-07-12,76.61,79.33,76.61,77.49,164500
2024-07-11,74.21,76.6,74.11,75.54,165600
2024-07-10,71.86,72.74,71.74,72.59,123200
2024-07-09,73.32,73.32,71.64,71.76,107100
2024-07-08,72.71,74.17,72.5,73.3,133600
2024-07-05,73.26,73.77,72.03,72.14,136000
2024-07-03,73.63,74.31,73.25,73.44,60500
2024-07-02,73.91,74.51,73.52,73.66,107400
2024-07-01,74.05,74.86,72.67,73.64,162100
2024-06-28,72.76,74.32,72.68,73.68,888200
2024-06-27,72.46,72.51,71.61,72.11,154400
2024-06-26,72.39,72.64,71.3,71.91,175000
2024-06-25,73.68,73.68,72.26,72.39,159900
2024-06-24,73.78,74.71,73.44,73.57,134800
2024-06-21,73.37,74.34,72.61,73.38,624400
2024-06-20,73.81,75.11,73.33,73.48,139500
2024-06-18,74.64,75.31,73.45,73.92,248800
2024-06-17,72.79,74.83,72.17,74.63,185800
2024-06-14,72.47,72.91,71.9,72.68,125200
2024-06-13,74.33,74.33,72.79,73.46,151800
2024-06-12,74.37,75.59,74.16,74.62,126200
2024-06-11,72.66,73.1,72.09,72.79,129300
2024-06-10,72.75,73.06,72.12,72.91,152600
2024-06-07,73.59,73.91,72.97,73.59,111200
2024-06-06,74.53,74.83,73.73,74.18,105300
2024-06-05,75.35,75.35,74.16,74.68,92700
2024-06-04,74.24,75.01,72.86,74.97,198300
2024-06-03,75.78,75.84,74.02,74.9,192200
2024-05-31,74.12,75.21,73.13,74.84,287000
