Date,Open,High,Low,Close,Volume
2025-03-19,49.99,52.4,49.34,52.35,1576805
2025-03-18,50.31,50.48,48.95,49.87,2380700
2025-03-17,50.61,51.34,49.95,50.69,2203900
2025-03-14,49.91,51.85,49.8,50.92,3715700
2025-03-13,48.07,48.75,47.07,48.54,2796400
2025-03-12,50.32,50.51,48.06,48.22,2454700
2025-03-11,48.06,49.7,47.31,48.63,3490400
2025-03-10,47.88,48.38,46.56,47.9,3928500
2025-03-07,48.67,49.49,46.58,49.22,3681800
2025-03-06,50.3,50.98,48.34,48.92,4239200
2025-03-05,50.12,53.37,50.01,52.2,5109400
2025-03-04,48.21,51.02,47.64,50.11,3672000
2025-03-03,52.77,53.24,49.12,49.43,4072600
2025-02-28,52.22,54.63,50.9,52.47,5724600
2025-02-27,55.18,57.2,52.76,53.2,7853300
2025-02-26,63.0,64.16,62.35,62.44,3235900
2025-02-25,62.5,62.68,60.4,61.3,3535100
2025-02-24,65.07,65.43,62.38,63.87,2834200
2025-02-21,68.49,69.34,64.63,65.07,2739600
2025-02-20,68.1,68.23,65.87,67.8,1666400
2025-02-19,68.56,68.89,67.58,67.89,1625900
2025-02-18,68.19,68.98,67.41,68.91,1569600
2025-02-14,67.54,67.86,66.34,67.8,1475200
2025-02-13,67.35,67.92,66.64,67.54,1408500
2025-02-12,66.23,67.96,65.63,67.25,2054100
2025-02-11,69.99,70.13,67.06,67.32,3487900
2025-02-10,69.49,71.3,69.01,70.92,1540000
2025-02-07,70.35,70.74,68.46,69.07,1939300
2025-02-06,70.39,70.53,69.12,69.71,1647500
2025-02-05,68.84,70.73,68.82,69.96,2000100
2025-02-04,66.33,68.37,66.22,68.35,1914500
2025-02-03,65.85,67.67,64.72,66.78,2311500
2025-01-31,69.46,70.18,67.64,67.79,1930400
2025-01-30,68.83,69.78,68.16,68.38,1579800
2025-01-29,67.53,67.9,66.6,67.64,1839300
2025-01-28,66.12,67.67,63.44,66.81,2398300
2025-01-27,66.3,67.75,63.5,65.29,6294300
2025-01-24,73.0,73.59,71.7,72.15,2097800
2025-01-23,71.05,72.55,70.95,72.37,2088600
2025-01-22,72.0,73.67,71.4,72.31,3176800
2025-01-21,67.2,70.18,67.07,70.08,3546000
2025-01-17,66.08,66.94,64.92,66.3,1872400
2025-01-16,65.28,67.23,65.28,65.42,2607600
2025-01-15,65.04,65.67,64.28,64.72,2356500
2025-01-14,63.6,64.15,62.48,63.25,1997800
2025-01-13,62.85,63.56,60.62,62.59,2800900
2025-01-10,63.47,64.96,62.41,64.73,3861500
2025-01-08,62.6,64.45,62.35,64.26,2745000
2025-01-07,65.15,65.15,62.77,62.93,1773200
2025-01-06,65.33,65.96,64.25,64.55,2077600
2025-01-03,62.97,64.33,62.25,64.23,1864200
2025-01-02,61.88,63.37,61.1,62.49,1978800
2024-12-31,62.76,63.24,61.17,61.43,1877300
2024-12-30,62.25,63.27,61.65,62.48,1529600
2024-12-27,64.6,65.12,63.22,63.65,1425800
2024-12-26,64.8,65.66,64.28,65.4,1820400
2024-12-24,63.95,64.75,63.71,64.75,1184700
2024-12-23,64.47,65.02,63.37,63.8,2400500
2024-12-20,61.8,65.2,61.35,64.4,6531500
2024-12-19,62.92,63.64,61.01,62.34,4573300
2024-12-18,65.69,66.28,62.53,62.59,3749300
2024-12-17,66.22,66.48,64.87,65.76,2888700
2024-12-16,63.95,66.99,63.5,66.6,3379400
2024-12-13,63.68,64.26,62.14,63.7,3645900
2024-12-12,61.41,62.6,61.21,62.52,2053500
2024-12-11,61.15,62.87,60.8,62.0,2757300
2024-12-10,63.51,63.51,60.03,60.29,3445700
2024-12-09,65.19,65.49,62.77,63.81,3173900
2024-12-06,63.6,65.97,63.41,64.92,4825800
2024-12-05,65.27,66.65,62.49,62.56,6292700
2024-12-04,62.66,67.95,60.28,65.35,13257300
2024-12-03,52.72,53.79,52.56,53.54,5738600
2024-12-02,53.2,54.09,52.93,53.04,2743200
2024-11-29,53.2,53.81,52.93,52.99,1011200
2024-11-27,54.32,54.49,51.43,52.89,2143500
2024-11-26,53.75,54.8,53.5,54.6,2154300
2024-11-25,52.49,53.76,52.33,53.74,4356700
2024-11-22,52.59,53.05,51.64,51.66,2431800
2024-11-21,50.39,52.3,50.1,51.56,1940600
2024-11-20,49.9,50.13,48.95,49.78,1309000
2024-11-19,48.76,50.25,48.52,49.9,2577400
2024-11-18,48.79,49.59,48.58,49.52,2524300
2024-11-15,49.0,49.4,47.71,48.19,2354000
2024-11-14,50.22,50.22,48.99,49.83,1976900
2024-11-13,51.03,52.96,45.15,49.87,9654700
2024-11-12,52.13,52.63,49.84,50.15,5336100
2024-11-11,53.29,53.29,52.07,52.62,2012200
2024-11-08,53.58,53.86,52.68,52.91,2665900
2024-11-07,54.34,54.73,53.7,53.93,1740800
2024-11-06,53.32,54.24,52.55,54.07,3170400
2024-11-05,49.8,51.51,49.78,51.15,1944300
2024-11-04,51.0,51.1,49.53,49.72,2402200
2024-11-01,50.34,51.52,50.26,50.95,1917000
2024-10-31,52.7,52.72,49.9,50.05,3029300
2024-10-30,54.7,54.97,52.81,53.41,2219800
2024-10-29,54.16,55.16,53.77,55.07,1521500
2024-10-28,54.31,54.64,54.07,54.07,1095900
2024-10-25,54.09,54.71,53.9,54.05,1513900
2024-10-24,52.6,53.52,52.37,53.45,1364100
2024-10-23,52.57,53.38,51.99,52.38,1994400
2024-10-22,55.5,55.74,52.53,53.01,5235800
2024-10-21,56.94,57.96,56.65,57.56,3012100
2024-10-18,56.63,57.43,56.51,57.07,3282600
2024-10-17,55.0,56.59,54.29,56.49,4179700
2024-10-16,52.99,54.0,52.68,53.42,2164600
2024-10-15,53.97,54.61,52.42,52.59,2103800
2024-10-14,53.64,54.6,53.64,53.9,1911600
2024-10-11,52.83,53.74,52.61,53.2,2602600
2024-10-10,52.59,53.27,52.17,53.09,1702500
2024-10-09,52.52,53.29,52.06,53.16,2079200
2024-10-08,51.53,52.59,51.01,52.51,1811100
2024-10-07,51.07,51.63,51.0,51.32,2253700
2024-10-04,50.78,51.45,50.03,51.24,2438700
2024-10-03,49.8,50.68,49.35,49.76,1825400
2024-10-02,48.77,50.6,48.77,49.92,2283900
2024-10-01,50.05,50.05,48.51,48.77,2052300
2024-09-30,49.18,50.24,48.98,50.24,3764000
2024-09-27,50.37,50.82,49.13,49.44,2879200
2024-09-26,51.31,51.58,50.09,50.45,3950700
2024-09-25,49.82,50.59,49.73,50.42,2655100
2024-09-24,50.2,50.56,49.56,49.81,2350900
2024-09-23,50.79,51.12,50.07,50.19,3141100
2024-09-20,49.69,50.99,49.34,50.72,7352600
2024-09-19,51.01,51.16,49.44,49.75,3349500
2024-09-18,50.0,50.68,49.23,49.28,2305600
2024-09-17,50.0,50.48,49.52,49.8,2161000
2024-09-16,48.46,49.69,48.17,49.58,3138100
2024-09-13,48.27,49.42,48.26,48.9,2189800
2024-09-12,47.72,48.58,47.41,48.26,2319500
2024-09-11,46.82,48.1,46.1,47.71,2580800
2024-09-10,46.4,47.01,46.01,46.71,2671900
2024-09-09,46.3,46.67,45.96,46.39,2519100
2024-09-06,46.61,47.11,44.76,45.73,3555400
2024-09-05,46.67,47.71,46.41,46.94,4295500
2024-09-04,47.41,47.97,46.29,47.39,5267500
2024-09-03,50.76,51.25,47.4,48.06,6973400
2024-08-30,50.67,51.96,50.49,51.29,5347800
2024-08-29,51.01,54.24,50.02,50.32,12409600
2024-08-28,60.51,61.09,59.24,59.76,3731000
2024-08-27,59.27,61.62,59.26,61.12,3390200
2024-08-26,61.46,61.96,60.1,60.54,2441800
2024-08-23,61.64,62.63,61.12,61.56,2382600
2024-08-22,62.25,63.08,60.8,60.95,1856200
2024-08-21,61.72,62.51,61.33,62.3,1915000
2024-08-20,62.06,62.3,61.27,61.55,1591100
2024-08-19,62.03,62.3,61.01,61.96,2064500
2024-08-16,62.1,62.84,61.41,62.42,1558100
2024-08-15,61.48,63.1,61.31,62.54,1937300
2024-08-14,60.27,60.62,59.53,60.3,2214000
2024-08-13,57.96,59.77,57.88,59.59,2182300
2024-08-12,56.7,58.05,56.57,57.19,2240100
2024-08-09,55.02,56.91,54.99,56.68,2247900
2024-08-08,53.95,55.36,53.19,55.24,2231000
2024-08-07,54.59,55.14,52.43,52.75,2513400
2024-08-06,53.33,54.64,52.49,53.84,1813500
2024-08-05,49.79,53.75,49.79,52.86,3260400
2024-08-02,54.54,54.86,52.67,54.29,2964600
2024-08-01,59.38,60.53,55.94,56.82,2864300
2024-07-31,59.42,60.7,58.46,59.93,3723500
2024-07-30,59.16,59.38,55.29,56.5,2948600
2024-07-29,58.66,59.43,58.19,58.2,1723300
2024-07-26,58.59,58.97,57.78,58.27,1986700
2024-07-25,58.05,58.61,55.75,57.42,3107100
2024-07-24,60.14,61.2,58.13,58.32,2723000
2024-07-23,61.06,62.18,60.48,61.24,2577100
2024-07-22,59.84,61.25,59.52,61.09,2639200
2024-07-19,59.63,60.27,58.58,59.1,3317100
2024-07-18,61.49,61.5,58.58,59.75,3426100
2024-07-17,62.38,62.7,60.44,60.63,2695300
2024-07-16,66.07,66.28,63.67,63.94,2430300
2024-07-15,66.0,66.42,64.96,65.81,1617000
2024-07-12,65.34,66.91,64.01,65.2,2113300
2024-07-11,67.76,68.34,64.85,65.31,2794600
2024-07-10,66.63,67.76,66.21,67.71,2766300
2024-07-09,65.68,66.62,65.24,65.88,2410600
2024-07-08,65.05,66.09,65.04,65.17,2559600
2024-07-05,64.13,64.91,63.26,64.68,2295600
2024-07-03,62.8,63.72,62.55,63.69,1918600
2024-07-02,61.0,63.02,60.5,62.77,4485300
2024-07-01,64.3,65.76,63.47,65.51,2744800
2024-06-28,65.56,66.45,63.98,64.21,3952100
2024-06-27,62.72,65.72,62.26,65.18,2842500
2024-06-26,62.7,63.24,62.17,62.71,2574900
2024-06-25,63.55,63.71,62.42,62.92,2816200
2024-06-24,63.81,64.13,62.03,62.82,4206300
2024-06-21,64.49,65.05,63.01,64.48,8842400
2024-06-20,69.62,70.21,64.78,65.96,4537900
2024-06-18,68.12,70.41,67.81,68.35,4757000
2024-06-17,68.0,68.42,66.19,67.81,3282500
2024-06-14,68.01,68.87,67.36,67.68,2607100
2024-06-13,67.49,68.69,67.16,68.3,2925000
2024-06-12,65.36,67.55,64.98,66.89,3485700
2024-06-11,66.01,66.72,65.16,66.56,3300900
2024-06-10,64.39,66.47,63.97,66.1,3327900
2024-06-07,63.64,65.3,63.31,64.94,3038900
2024-06-06,63.23,64.36,62.79,64.04,3600500
2024-06-05,61.47,63.58,61.42,63.48,3756100
2024-06-04,59.79,60.51,59.27,60.44,2680000
2024-06-03,61.53,62.03,58.95,59.8,4024700
2024-05-31,63.02,64.51,59.38,60.29,22239100
2024-05-30,68.5,68.75,61.6,63.25,7792800
2024-05-29,61.5,63.06,61.0,63.0,6409100
2024-05-28,62.0,62.61,61.42,62.52,4826900
2024-05-24,60.03,61.61,59.78,61.05,3470300
2024-05-23,62.0,62.22,59.57,60.01,2913900
2024-05-22,60.32,60.63,59.81,60.31,2320100
2024-05-21,58.77,60.24,58.06,59.91,2698900
2024-05-20,59.33,60.44,59.14,60.12,2847900
2024-05-17,59.55,60.51,58.82,59.15,3135500
2024-05-16,59.5,59.81,58.64,58.85,2185300
2024-05-15,56.85,59.75,56.54,59.59,4832500
2024-05-14,54.14,56.57,54.14,56.41,4215200
2024-05-13,54.41,54.83,53.91,54.33,2112900
2024-05-10,54.47,54.5,53.6,54.41,1453600
2024-05-09,53.77,54.95,53.41,54.11,2918500
2024-05-08,52.95,53.97,52.79,53.45,1492600
2024-05-07,53.84,54.28,53.13,53.18,2321000
2024-05-06,52.71,54.12,52.42,53.95,2601100
2024-05-03,52.48,52.86,51.49,52.24,1881500
2024-05-02,50.96,51.48,49.45,51.43,1706000
2024-05-01,50.33,51.58,49.93,50.13,3977000
2024-04-30,52.24,52.85,50.38,50.4,3175700
2024-04-29,52.79,53.48,52.08,52.43,2535200
2024-04-26,52.71,53.18,51.98,52.95,2273100
2024-04-25,49.89,52.41,49.49,52.22,2810000
2024-04-24,52.75,52.94,50.57,50.65,2683900
2024-04-23,50.95,51.87,50.9,51.8,2076500
2024-04-22,49.9,50.52,48.9,50.51,2829100
2024-04-19,50.32,50.85,48.58,49.46,4791600
2024-04-18,52.23,52.78,51.2,51.82,2106600
2024-04-17,53.39,54.07,52.29,52.32,2989800
2024-04-16,51.91,53.36,51.59,53.31,3654000
2024-04-15,53.93,54.29,52.26,52.3,3090500
2024-04-12,53.97,54.75,53.16,53.43,2710900
2024-04-11,53.75,55.09,53.4,54.99,3915100
2024-04-10,51.49,53.5,51.35,53.14,2782400
2024-04-09,53.42,53.74,51.77,52.73,2438100
2024-04-08,54.06,54.46,53.31,53.75,2064400
2024-04-05,52.81,53.87,52.19,53.79,2847100
2024-04-04,54.13,54.97,52.46,52.61,3503500
2024-04-03,51.05,53.88,51.05,53.53,3639800
2024-04-02,51.07,51.89,50.3,51.66,2687000
2024-04-01,52.0,52.84,51.4,52.06,2554500
2024-03-28,52.56,53.33,51.88,51.99,2572000
2024-03-27,52.61,53.1,51.85,52.55,2204700
2024-03-26,52.89,53.82,52.12,52.17,2221100
2024-03-25,51.55,53.4,51.55,52.68,2711500
2024-03-22,52.45,52.59,50.96,52.23,4279100
2024-03-21,52.75,53.26,52.33,52.84,3293000
2024-03-20,50.14,51.94,49.88,51.79,3482000
2024-03-19,50.31,50.45,48.89,49.78,3097000
2024-03-18,51.0,51.15,50.11,50.6,2343500
2024-03-15,50.65,51.1,49.79,49.96,5890300
2024-03-14,50.96,51.54,49.98,50.77,2595400
2024-03-13,52.35,52.35,50.25,50.58,4172200
2024-03-12,54.94,55.38,49.74,52.36,10817600
2024-03-11,55.0,55.0,52.95,54.06,3850700
2024-03-08,57.53,58.46,55.18,55.35,3437700
2024-03-07,57.49,57.63,55.68,57.16,3549900
2024-03-06,56.47,57.91,56.05,56.93,4736600
2024-03-05,55.24,55.67,53.97,54.92,3813200
2024-03-04,55.72,56.42,54.69,55.72,5793000
2024-03-01,52.22,55.99,52.14,55.33,10741100
2024-02-29,47.58,52.76,47.58,52.65,13450300
2024-02-28,41.0,42.52,40.95,42.12,7035700
2024-02-27,41.75,42.13,41.29,41.48,2840500
2024-02-26,40.82,41.77,40.79,41.5,2881900
2024-02-23,41.25,41.47,40.52,40.57,3849100
2024-02-22,40.67,41.37,40.32,41.19,3723600
2024-02-21,39.99,39.99,38.78,39.23,5298800
2024-02-20,41.43,41.61,40.59,40.8,5323200
