Date,Open,High,Low,Close,Volume
2025-03-12,0.7,0.7,0.7,0.7,0
2025-03-11,0.7,0.7,0.7,0.7,0
2025-03-10,0.7,0.7,0.7,0.7,1000
2025-03-07,0.77,0.77,0.77,0.77,0
2025-03-06,0.77,0.77,0.77,0.77,0
2025-03-05,0.77,0.77,0.77,0.77,0
2025-03-04,0.77,0.77,0.77,0.77,0
2025-03-03,0.77,0.77,0.77,0.77,0
2025-02-28,0.77,0.77,0.77,0.77,300
2025-02-27,0.78,0.78,0.78,0.78,0
2025-02-26,0.99,0.99,0.78,0.78,2831
2025-02-25,0.75,1.0,0.75,0.99,3529
2025-02-24,0.65,0.65,0.65,0.65,0
2025-02-21,0.68,0.7,0.65,0.65,7645
2025-02-20,0.86,0.86,0.7,0.75,8950
2025-02-19,0.9,0.9,0.9,0.9,0
2025-02-18,0.9,0.9,0.9,0.9,0
2025-02-14,0.9,0.9,0.9,0.9,1000
2025-02-13,0.9,0.9,0.86,0.86,200
2025-02-12,0.9,0.9,0.9,0.9,0
2025-02-11,0.9,0.9,0.9,0.9,0
2025-02-10,0.9,0.9,0.9,0.9,0
2025-02-07,0.9,0.9,0.9,0.9,0
2025-02-06,0.9,0.9,0.9,0.9,0
2025-02-05,0.9,0.9,0.9,0.9,500
2025-02-04,0.89,0.89,0.89,0.89,100
2025-02-03,0.93,0.93,0.93,0.93,0
2025-01-31,0.93,0.93,0.93,0.93,0
2025-01-30,0.93,0.93,0.93,0.93,0
2025-01-29,0.93,0.93,0.93,0.93,100
2025-01-28,1.04,1.04,1.0,1.0,300
2025-01-27,1.07,1.07,1.07,1.07,0
2025-01-24,1.07,1.07,1.07,1.07,0
2025-01-23,1.01,1.31,1.01,1.07,1849
2025-01-22,1.01,1.01,1.01,1.01,1050
2025-01-21,1.01,1.03,1.01,1.03,200
2025-01-17,1.09,1.35,1.01,1.01,3000
2025-01-16,1.05,1.05,1.05,1.05,0
2025-01-15,1.05,1.05,1.05,1.05,0
2025-01-14,0.95,1.14,0.95,1.05,4300
2025-01-13,0.88,0.88,0.88,0.88,0
2025-01-10,0.88,0.88,0.88,0.88,0
2025-01-08,0.88,0.88,0.88,0.88,0
2025-01-07,0.88,0.88,0.88,0.88,0
2025-01-06,0.88,0.88,0.88,0.88,100
2025-01-03,1.0,1.0,1.0,1.0,0
