Date,Open,High,Low,Close,Volume
2025-03-19,218.0,224.63,217.01,224.28,371970
2025-03-18,224.4,226.16,218.13,219.82,1252800
2025-03-17,218.94,221.33,214.01,220.02,826200
2025-03-14,221.01,221.01,215.59,220.31,1028400
2025-03-13,224.77,224.77,215.44,216.68,1182200
2025-03-12,228.94,233.41,222.77,225.26,976600
2025-03-11,220.0,226.91,218.8,223.2,1444900
2025-03-10,226.17,227.04,213.01,218.4,1661600
2025-03-07,237.15,237.28,221.23,232.63,1004000
2025-03-06,244.99,249.62,237.72,238.34,936600
2025-03-05,253.32,254.08,245.92,250.45,1075000
2025-03-04,260.0,260.83,247.54,252.72,1225200
2025-03-03,272.41,273.55,260.61,262.36,806300
2025-02-28,269.58,272.21,267.23,271.14,636700
2025-02-27,276.0,277.37,269.26,270.73,469100
2025-02-26,270.89,281.08,270.43,275.79,787800
2025-02-25,275.01,275.45,263.71,268.17,1419100
2025-02-24,278.28,279.6,270.06,275.65,884800
2025-02-21,286.33,287.45,275.95,277.68,859200
2025-02-20,285.0,287.3,281.81,286.5,661900
2025-02-19,282.78,289.12,281.92,286.44,729500
2025-02-18,284.73,287.03,282.33,286.74,715900
2025-02-14,278.45,284.53,277.49,282.63,731000
2025-02-13,274.93,278.83,270.68,278.53,737200
2025-02-12,272.76,274.2,269.94,273.01,619800
2025-02-11,266.76,272.94,266.61,272.17,724900
2025-02-10,267.98,269.71,262.93,268.55,783300
2025-02-07,276.85,277.04,266.28,268.95,938800
2025-02-06,285.5,289.33,270.53,273.14,2446800
2025-02-05,244.85,250.51,244.71,249.0,936600
2025-02-04,249.1,250.79,246.31,246.85,719700
2025-02-03,237.23,246.88,235.68,246.0,1080600
2025-01-31,257.51,257.95,249.42,249.7,737000
2025-01-30,255.81,259.5,253.98,258.5,551100
2025-01-29,258.22,260.77,255.97,256.81,713500
2025-01-28,248.5,257.9,248.5,257.45,613600
2025-01-27,251.5,252.89,245.06,247.71,608700
2025-01-24,256.01,257.41,254.73,256.0,512900
2025-01-23,248.97,256.71,248.21,256.52,752900
2025-01-22,247.61,250.95,246.73,250.42,659300
2025-01-21,244.0,248.5,243.09,247.73,932300
2025-01-17,239.72,242.68,237.03,240.46,618500
2025-01-16,242.58,242.58,236.31,237.72,520600
2025-01-15,241.55,243.13,232.4,236.72,628100
2025-01-14,238.64,241.17,235.45,237.53,628400
2025-01-13,234.28,236.54,228.01,236.5,827600
2025-01-10,241.7,241.7,236.38,237.34,693700
2025-01-08,241.06,244.52,238.94,243.05,788400
2025-01-07,243.76,245.92,241.02,242.52,609100
2025-01-06,237.32,243.66,237.32,242.96,967500
2025-01-03,232.25,235.99,229.83,234.49,485300
2025-01-02,232.27,235.0,229.8,231.56,596100
2024-12-31,234.2,235.45,230.66,230.98,692400
2024-12-30,226.02,232.28,224.78,232.22,592600
2024-12-27,229.68,232.24,228.54,229.55,414900
2024-12-26,229.05,232.87,229.05,231.79,488100
2024-12-24,229.14,230.75,228.22,230.75,194100
2024-12-23,228.21,230.89,226.47,229.59,504600
2024-12-20,220.72,232.44,220.72,229.46,1629100
2024-12-19,222.86,223.92,220.37,221.67,627900
2024-12-18,226.41,228.97,220.29,220.41,738400
2024-12-17,229.96,229.96,225.29,227.12,744600
2024-12-16,226.54,232.74,225.91,230.84,478200
2024-12-13,226.24,227.58,224.17,226.64,443500
2024-12-12,225.71,227.81,224.99,225.26,523100
2024-12-11,226.71,229.18,224.02,226.6,700600
2024-12-10,227.51,228.11,225.23,226.64,359800
2024-12-09,231.3,234.17,226.97,227.32,662100
2024-12-06,234.37,236.15,228.85,229.92,711800
2024-12-05,230.79,235.74,230.79,232.36,590400
2024-12-04,230.48,233.75,230.14,232.04,501600
2024-12-03,234.21,234.78,230.22,231.0,629600
2024-12-02,230.58,234.18,229.22,232.58,977500
2024-11-29,223.06,231.11,222.34,230.58,613100
2024-11-27,223.07,225.84,220.48,221.88,622600
2024-11-26,217.48,222.99,216.05,222.45,793900
2024-11-25,213.91,221.36,213.67,219.22,1060300
2024-11-22,207.82,212.66,207.8,211.4,683900
2024-11-21,201.53,206.68,200.91,206.39,798900
2024-11-20,204.51,205.23,200.18,201.43,969500
2024-11-19,204.55,206.27,201.18,204.8,696300
2024-11-18,208.94,208.94,206.51,207.09,635900
2024-11-15,210.54,211.15,206.93,207.64,450600
2024-11-14,211.22,212.64,209.87,210.72,395000
2024-11-13,210.07,211.99,208.9,210.02,466700
2024-11-12,211.09,212.46,208.28,208.85,865000
2024-11-11,224.1,224.61,212.76,213.11,975900
2024-11-08,220.6,223.96,217.32,221.79,816100
2024-11-07,229.12,236.32,216.1,220.91,1724000
2024-11-06,205.89,207.74,202.8,207.3,1293700
2024-11-05,198.47,202.9,197.91,202.64,763400
2024-11-04,197.81,202.7,197.31,199.18,532400
2024-11-01,197.34,197.66,194.03,196.96,530900
2024-10-31,201.46,202.79,197.17,197.23,629100
2024-10-30,201.18,203.78,200.75,200.97,418900
2024-10-29,200.19,203.99,199.16,202.84,429400
2024-10-28,199.27,203.19,199.27,202.31,509700
2024-10-25,199.01,200.6,196.16,196.89,682900
2024-10-24,198.4,198.4,196.46,197.24,417400
2024-10-23,197.46,198.62,195.4,195.81,479500
2024-10-22,201.02,201.19,198.29,198.48,457200
2024-10-21,205.51,205.51,201.59,202.82,430200
2024-10-18,203.63,206.33,202.16,205.51,418600
2024-10-17,202.81,204.34,201.46,202.22,504700
2024-10-16,202.0,203.54,201.03,201.41,556900
2024-10-15,204.84,205.68,199.29,200.54,848800
2024-10-14,200.65,206.01,199.91,205.37,582500
2024-10-11,198.37,202.17,197.16,201.17,556400
2024-10-10,195.11,198.59,194.29,198.41,545700
2024-10-09,194.63,196.3,194.47,195.04,344400
2024-10-08,194.04,195.68,193.22,193.88,446800
2024-10-07,194.83,196.23,191.99,194.86,606000
2024-10-04,194.64,197.66,192.58,195.47,531400
2024-10-03,190.32,193.45,188.33,191.73,697200
2024-10-02,190.12,192.5,189.66,192.44,525900
2024-10-01,192.5,193.08,189.51,191.55,685200
