Date,Open,High,Low,Close,Volume
2025-03-20,0.06,0.06,0.06,0.06,75000
2025-03-19,0.05,0.06,0.04,0.06,5900
2025-03-18,0.06,0.06,0.06,0.06,5000
2025-03-17,0.03,0.05,0.03,0.05,16300
2025-03-14,0.05,0.05,0.05,0.05,0
2025-03-13,0.05,0.05,0.05,0.05,0
2025-03-12,0.05,0.05,0.05,0.05,0
2025-03-11,0.03,0.05,0.03,0.05,3800
2025-03-10,0.05,0.05,0.05,0.05,0
2025-03-07,0.05,0.05,0.05,0.05,2000
2025-03-06,0.04,0.04,0.04,0.04,0
2025-03-05,0.04,0.04,0.04,0.04,0
2025-03-04,0.04,0.05,0.04,0.04,22800
2025-03-03,0.04,0.04,0.04,0.04,25900
2025-02-28,0.04,0.04,0.04,0.04,21000
2025-02-27,0.04,0.04,0.04,0.04,0
2025-02-26,0.04,0.04,0.04,0.04,0
2025-02-25,0.04,0.04,0.04,0.04,0
2025-02-24,0.04,0.04,0.04,0.04,0
2025-02-21,0.04,0.04,0.04,0.04,100
2025-02-20,0.04,0.04,0.04,0.04,0
2025-02-19,0.04,0.04,0.04,0.04,5100
2025-02-18,0.04,0.04,0.04,0.04,30000
2025-02-14,0.04,0.04,0.04,0.04,0
2025-02-13,0.04,0.04,0.04,0.04,200
2025-02-12,0.05,0.05,0.05,0.05,0
2025-02-11,0.05,0.05,0.05,0.05,0
2025-02-10,0.05,0.05,0.05,0.05,100
2025-02-07,0.04,0.05,0.04,0.05,6100
2025-02-06,0.04,0.04,0.04,0.04,0
2025-02-05,0.04,0.04,0.04,0.04,0
2025-02-04,0.04,0.04,0.04,0.04,10000
2025-02-03,0.04,0.04,0.04,0.04,16000
2025-01-31,0.04,0.04,0.04,0.04,60900
2025-01-30,0.05,0.05,0.02,0.03,205100
2025-01-29,0.05,0.05,0.05,0.05,0
2025-01-28,0.05,0.05,0.05,0.05,0
2025-01-27,0.05,0.05,0.05,0.05,0
2025-01-24,0.05,0.05,0.05,0.05,0
2025-01-23,0.05,0.05,0.05,0.05,26000
2025-01-22,0.05,0.05,0.05,0.05,29500
2025-01-21,0.05,0.05,0.05,0.05,0
2025-01-17,0.05,0.05,0.05,0.05,16100
