Date,Open,High,Low,Close,Volume
2025-03-13,0.97,1.01,0.92,0.92,5752579
2025-03-12,1.0,1.05,0.96,1.0,6203400
2025-03-11,0.98,1.03,0.94,0.99,3254700
2025-03-10,1.03,1.04,0.96,0.99,3204600
2025-03-07,1.06,1.06,0.96,1.04,5252500
2025-03-06,0.86,1.02,0.82,1.0,4648600
2025-03-05,0.86,0.91,0.81,0.87,4816100
2025-03-04,0.9,0.91,0.8,0.86,4268600
2025-03-03,1.02,1.03,0.89,0.92,3915700
2025-02-28,0.96,1.05,0.91,1.02,3374000
2025-02-27,1.0,1.04,0.95,0.96,3642700
2025-02-26,0.97,1.04,0.97,0.98,3024200
2025-02-25,1.01,1.01,0.91,0.96,5051000
2025-02-24,1.08,1.08,1.0,1.0,3846600
2025-02-21,1.13,1.17,1.05,1.07,4301100
2025-02-20,1.1,1.16,1.09,1.12,3581800
2025-02-19,1.16,1.17,1.1,1.1,2932500
2025-02-18,1.18,1.24,1.15,1.15,2765800
2025-02-14,1.17,1.21,1.15,1.17,2942300
2025-02-13,1.14,1.19,1.11,1.17,2840800
2025-02-12,1.11,1.15,1.1,1.13,2313200
2025-02-11,1.14,1.16,1.09,1.14,2993100
2025-02-10,1.19,1.19,1.07,1.16,5159900
2025-02-07,1.27,1.29,1.13,1.15,5658600
2025-02-06,1.39,1.4,1.26,1.27,8208100
2025-02-05,1.24,1.28,1.22,1.26,2176500
2025-02-04,1.17,1.25,1.15,1.24,2697000
2025-02-03,1.17,1.25,1.14,1.17,3235200
2025-01-31,1.25,1.29,1.18,1.23,4031500
2025-01-30,1.14,1.26,1.14,1.23,6125800
2025-01-29,1.12,1.17,1.1,1.13,2893800
2025-01-28,1.13,1.15,1.08,1.13,3250700
2025-01-27,1.12,1.21,1.12,1.13,3950700
2025-01-24,1.21,1.29,1.16,1.16,3988500
2025-01-23,1.13,1.22,1.11,1.19,2825000
2025-01-22,1.12,1.16,1.1,1.15,3237500
2025-01-21,1.12,1.15,1.07,1.13,3689000
2025-01-17,1.1,1.14,1.08,1.09,4332400
2025-01-16,1.12,1.14,1.06,1.1,4278700
2025-01-15,1.08,1.14,1.05,1.1,7463700
2025-01-14,1.12,1.18,1.0,1.02,4688300
2025-01-13,1.12,1.15,1.03,1.08,6731600
2025-01-10,1.23,1.25,1.12,1.17,5159100
2025-01-08,1.35,1.37,1.2,1.22,6006800
2025-01-07,1.37,1.51,1.34,1.37,7289900
2025-01-06,1.35,1.45,1.3,1.35,10909800
2025-01-03,1.13,1.33,1.12,1.3,13397600
2025-01-02,1.02,1.14,0.97,1.13,13758800
2024-12-31,1.07,1.26,0.91,1.02,44556100
2024-12-30,2.49,2.5,2.32,2.34,19169400
2024-12-27,2.62,2.73,2.53,2.56,4101800
2024-12-26,2.46,2.67,2.43,2.63,4138400
2024-12-24,2.32,2.5,2.29,2.5,2521400
2024-12-23,2.34,2.59,2.34,2.39,6189100
2024-12-20,2.3,2.53,2.25,2.47,13730300
2024-12-19,2.72,2.82,2.24,2.31,21242500
2024-12-18,2.8,2.81,2.3,2.35,9975200
2024-12-17,2.54,2.84,2.54,2.82,8047700
2024-12-16,2.08,2.79,2.04,2.65,18691400
2024-12-13,1.99,2.17,1.93,2.05,7800000
2024-12-12,1.9,1.93,1.8,1.91,4482800
2024-12-11,1.96,2.03,1.9,1.94,3348300
2024-12-10,2.0,2.04,1.87,1.95,5128900
2024-12-09,2.02,2.05,1.93,2.0,3750900
2024-12-06,2.0,2.08,1.92,2.01,4221000
2024-12-05,1.95,1.99,1.8,1.97,4576700
2024-12-04,2.21,2.21,1.93,1.94,6134800
2024-12-03,2.37,2.37,2.07,2.15,4663800
2024-12-02,2.27,2.37,2.15,2.36,3551000
2024-11-29,2.3,2.38,2.14,2.26,3004300
2024-11-27,2.14,2.33,2.09,2.3,5157000
2024-11-26,1.99,2.27,1.93,2.14,8343100
2024-11-25,1.9,1.95,1.79,1.94,5194700
2024-11-22,1.94,2.0,1.86,1.88,5345200
2024-11-21,1.95,2.03,1.89,1.96,3300500
2024-11-20,2.06,2.11,1.89,1.95,6710900
2024-11-19,1.88,2.03,1.85,1.96,6410600
2024-11-18,2.07,2.17,1.82,1.9,6611300
2024-11-15,2.16,2.19,1.96,2.05,6591500
2024-11-14,2.53,2.54,2.09,2.15,7658500
2024-11-13,2.25,2.82,2.25,2.44,9919300
2024-11-12,2.53,2.86,2.44,2.71,9177900
2024-11-11,2.89,3.01,2.6,2.7,8202600
2024-11-08,2.92,3.18,2.68,2.87,18398700
2024-11-07,2.5,2.97,2.44,2.81,15370800
2024-11-06,2.16,2.56,1.96,2.47,12039800
2024-11-05,1.81,2.17,1.72,2.16,9409200
2024-11-04,1.9,2.0,1.74,1.74,7477000
2024-11-01,1.78,1.94,1.78,1.88,6911800
2024-10-31,1.95,2.0,1.68,1.7,11254600
2024-10-30,1.95,2.1,1.86,1.99,9498700
2024-10-29,2.04,2.3,1.91,2.0,19988900
2024-10-28,1.61,2.06,1.54,2.04,18439300
2024-10-25,1.49,1.78,1.31,1.5,15929100
2024-10-24,1.63,1.76,1.43,1.49,16857100
2024-10-23,1.33,1.77,1.25,1.54,41997000
2024-10-22,1.23,1.45,1.15,1.21,65713800
2024-10-21,0.91,0.93,0.86,0.91,2366700
2024-10-18,0.92,0.99,0.91,0.92,1929100
2024-10-17,0.97,1.0,0.91,0.94,2164900
2024-10-16,0.98,1.07,0.96,0.99,4835700
2024-10-15,0.93,1.0,0.89,0.97,3883900
2024-10-14,0.84,0.97,0.82,0.93,4831700
2024-10-11,0.81,0.85,0.81,0.84,1749900
2024-10-10,0.78,0.83,0.77,0.83,1291000
2024-10-09,0.81,0.83,0.79,0.79,818900
2024-10-08,0.8,0.87,0.79,0.81,1589900
2024-10-07,0.77,0.81,0.75,0.8,2088100
2024-10-04,0.8,0.81,0.74,0.78,2755000
2024-10-03,0.8,0.83,0.78,0.79,1628300
2024-10-02,0.81,0.84,0.8,0.82,952200
2024-10-01,0.86,0.87,0.79,0.82,3708600
2024-09-30,0.86,0.9,0.84,0.87,1516500
2024-09-27,0.86,0.89,0.84,0.87,1583600
2024-09-26,0.87,0.88,0.84,0.84,1729100
2024-09-25,0.92,0.94,0.85,0.86,3242600
2024-09-24,0.91,0.96,0.88,0.93,1887300
2024-09-23,0.93,0.98,0.91,0.92,3941900
2024-09-20,0.9,1.0,0.87,0.96,4841500
2024-09-19,0.85,0.94,0.84,0.9,5022200
2024-09-18,0.83,0.88,0.82,0.84,1526900
2024-09-17,0.83,0.88,0.81,0.83,2367700
2024-09-16,0.83,0.9,0.82,0.84,2623200
2024-09-13,0.87,0.87,0.82,0.85,2995200
2024-09-12,0.86,0.87,0.79,0.81,2926000
2024-09-11,0.85,0.88,0.83,0.84,2776600
2024-09-10,0.87,0.93,0.84,0.86,3656500
2024-09-09,0.74,0.9,0.7,0.88,9572800
2024-09-06,0.75,0.77,0.7,0.72,3484000
2024-09-05,0.8,0.8,0.72,0.75,5797300
2024-09-04,0.81,0.84,0.78,0.8,2505500
2024-09-03,0.82,0.88,0.77,0.81,3731700
2024-08-30,0.82,0.86,0.81,0.85,1861700
2024-08-29,0.79,0.85,0.78,0.83,2738600
2024-08-28,0.84,0.85,0.77,0.79,4453800
2024-08-27,0.82,0.86,0.8,0.82,3605500
