Date,Open,High,Low,Close,Volume
2025-03-20,0.6,0.6,0.57,0.58,8420
2025-03-19,0.58,0.61,0.57,0.58,21100
2025-03-18,0.56,0.58,0.52,0.56,3500
2025-03-17,0.56,0.64,0.46,0.57,85800
2025-03-14,0.63,0.64,0.55,0.56,20600
2025-03-13,0.62,0.62,0.59,0.6,6100
2025-03-12,0.6,0.66,0.6,0.6,40900
2025-03-11,0.59,0.62,0.58,0.59,13300
2025-03-10,0.56,0.6,0.56,0.59,39600
2025-03-07,0.56,0.58,0.56,0.57,12300
2025-03-06,0.6,0.6,0.56,0.57,36500
2025-03-05,0.61,0.67,0.57,0.6,35000
2025-03-04,0.6,0.67,0.6,0.62,10100
2025-03-03,0.67,0.69,0.6,0.64,17800
2025-02-28,0.55,0.7,0.55,0.67,53200
2025-02-27,0.58,0.58,0.56,0.58,16600
2025-02-26,0.54,0.58,0.54,0.56,32400
2025-02-25,0.58,0.68,0.53,0.55,173900
2025-02-24,0.57,0.66,0.56,0.58,114000
2025-02-21,0.57,0.6,0.57,0.58,22000
2025-02-20,0.57,0.61,0.57,0.6,30800
2025-02-19,0.6,0.6,0.57,0.59,29700
2025-02-18,0.61,0.63,0.56,0.6,30900
2025-02-14,0.58,0.64,0.58,0.61,54600
2025-02-13,0.6,0.62,0.55,0.62,83900
2025-02-12,0.61,0.63,0.59,0.6,60900
2025-02-11,0.64,0.65,0.61,0.62,28600
2025-02-10,0.62,0.7,0.58,0.65,27600
2025-02-07,0.69,0.74,0.56,0.63,60200
2025-02-06,0.72,0.74,0.62,0.68,154800
2025-02-05,0.77,0.78,0.7,0.76,46600
2025-02-04,0.73,0.77,0.7,0.71,56500
2025-02-03,0.78,0.8,0.73,0.73,102000
2025-01-31,0.8,0.8,0.71,0.76,64000
2025-01-30,0.8,0.82,0.66,0.77,77800
2025-01-29,0.81,0.84,0.8,0.81,16900
2025-01-28,0.82,0.9,0.71,0.8,100200
2025-01-27,0.89,0.9,0.81,0.85,103800
2025-01-24,0.88,0.93,0.84,0.89,93700
2025-01-23,0.88,0.9,0.83,0.86,89100
2025-01-22,0.91,0.94,0.85,0.9,102700
2025-01-21,1.02,1.1,0.83,0.9,562500
2025-01-17,1.2,1.23,1.03,1.05,175800
2025-01-16,1.29,1.3,1.15,1.21,132800
2025-01-15,1.22,1.32,1.11,1.3,270300
2025-01-14,1.23,1.4,1.22,1.26,409100
2025-01-13,1.08,1.31,1.08,1.23,781600
2025-01-10,1.12,1.17,1.04,1.04,169300
2025-01-08,1.38,1.38,1.09,1.11,800200
2025-01-07,1.05,1.5,1.02,1.4,2243600
2025-01-06,1.06,1.08,0.95,1.0,334800
2025-01-03,1.04,1.15,0.97,1.09,193600
2025-01-02,0.95,1.07,0.95,1.01,307200
2024-12-31,1.08,1.21,0.93,0.93,312000
2024-12-30,1.11,1.13,1.0,1.12,275700
2024-12-27,1.25,1.25,1.02,1.12,399600
2024-12-26,0.95,1.22,0.87,1.22,1150700
2024-12-24,1.0,1.1,0.85,0.98,3071400
2024-12-23,0.41,1.65,0.41,1.65,18376200
2024-12-20,0.44,0.48,0.41,0.43,48600
2024-12-19,0.43,0.46,0.43,0.44,23300
2024-12-18,0.47,0.5,0.44,0.44,34200
2024-12-17,0.45,0.51,0.45,0.49,32400
2024-12-16,0.48,0.48,0.44,0.47,39800
2024-12-13,0.46,0.51,0.46,0.48,34700
2024-12-12,0.51,0.51,0.47,0.5,24300
2024-12-11,0.51,0.52,0.51,0.51,65300
2024-12-10,0.52,0.52,0.48,0.51,153800
2024-12-09,0.5,0.52,0.5,0.52,28300
2024-12-06,0.53,0.54,0.52,0.52,11800
2024-12-05,0.51,0.53,0.48,0.51,75800
2024-12-04,0.55,0.56,0.51,0.51,23900
2024-12-03,0.54,0.56,0.53,0.54,39300
2024-12-02,0.56,0.57,0.53,0.54,20700
2024-11-29,0.56,0.57,0.56,0.56,43200
2024-11-27,0.6,0.6,0.55,0.57,24200
2024-11-26,0.54,0.59,0.53,0.58,29800
2024-11-25,0.55,0.62,0.5,0.56,55900
2024-11-22,0.51,0.68,0.48,0.53,268900
2024-11-21,0.43,0.52,0.43,0.47,70000
2024-11-20,0.44,0.47,0.44,0.44,51900
2024-11-19,0.43,0.46,0.4,0.43,147400
2024-11-18,0.53,0.53,0.47,0.49,90900
2024-11-15,0.57,0.57,0.51,0.51,87600
2024-11-14,0.54,0.54,0.5,0.5,18900
2024-11-13,0.56,0.6,0.53,0.53,30500
2024-11-12,0.54,0.59,0.54,0.56,20900
2024-11-11,0.53,0.56,0.53,0.55,87200
2024-11-08,0.51,0.6,0.51,0.56,9800
2024-11-07,0.6,0.6,0.5,0.59,141100
2024-11-06,0.59,0.6,0.56,0.6,41400
2024-11-05,0.57,0.57,0.53,0.56,4700
2024-11-04,0.51,0.57,0.51,0.56,33400
2024-11-01,0.51,0.51,0.45,0.51,19900
2024-10-31,0.53,0.54,0.45,0.49,66400
2024-10-30,0.59,0.62,0.5,0.54,441000
2024-10-29,0.65,0.67,0.61,0.62,25000
2024-10-28,0.65,0.67,0.65,0.65,20700
2024-10-25,0.67,0.67,0.65,0.65,2600
2024-10-24,0.68,0.68,0.65,0.65,27300
2024-10-23,0.68,0.68,0.66,0.67,12400
2024-10-22,0.67,0.7,0.67,0.67,22700
2024-10-21,0.7,0.7,0.66,0.67,24100
2024-10-18,0.67,0.7,0.67,0.69,14800
2024-10-17,0.67,0.68,0.67,0.68,9100
2024-10-16,0.67,0.69,0.67,0.67,68000
2024-10-15,0.64,0.69,0.64,0.67,34900
2024-10-14,0.67,0.69,0.66,0.66,15300
2024-10-11,0.68,0.68,0.66,0.68,9600
2024-10-10,0.67,0.7,0.65,0.66,24400
2024-10-09,0.68,0.7,0.65,0.65,140500
2024-10-08,0.71,0.71,0.65,0.65,29400
2024-10-07,0.66,0.72,0.64,0.7,137400
2024-10-04,0.69,0.75,0.64,0.66,123900
2024-10-03,0.69,0.69,0.64,0.65,80400
2024-10-02,0.65,0.67,0.65,0.65,34500
2024-10-01,0.7,0.7,0.56,0.62,111700
2024-09-30,0.71,0.71,0.68,0.68,31900
2024-09-27,0.68,0.69,0.67,0.68,27400
2024-09-26,0.73,0.73,0.67,0.71,44100
2024-09-25,0.72,0.73,0.7,0.7,73100
2024-09-24,0.76,0.76,0.69,0.72,177800
2024-09-23,0.77,0.77,0.73,0.75,200300
2024-09-20,0.72,0.77,0.71,0.72,124800
2024-09-19,0.66,0.71,0.65,0.7,71000
2024-09-18,0.65,0.69,0.64,0.65,78900
2024-09-17,0.64,0.64,0.58,0.63,23800
2024-09-16,0.62,0.64,0.52,0.64,170600
2024-09-13,0.64,0.65,0.62,0.62,55400
2024-09-12,0.63,0.65,0.62,0.63,23000
2024-09-11,0.63,0.66,0.63,0.65,36000
2024-09-10,0.63,0.66,0.62,0.64,125900
2024-09-09,0.69,0.69,0.54,0.58,182100
2024-09-06,0.69,0.69,0.67,0.68,22500
2024-09-05,0.67,0.7,0.67,0.68,50400
2024-09-04,0.67,0.71,0.66,0.69,163000
2024-09-03,0.68,0.69,0.66,0.68,27300
2024-08-30,0.65,0.71,0.65,0.7,122600
2024-08-29,0.64,0.69,0.61,0.68,125000
2024-08-28,0.67,0.7,0.65,0.66,133900
2024-08-27,0.6,0.69,0.58,0.67,234800
2024-08-26,0.67,0.67,0.57,0.6,103600
2024-08-23,0.7,0.72,0.52,0.65,560900
2024-08-22,0.66,0.73,0.62,0.69,980600
2024-08-21,0.49,0.63,0.48,0.6,822800
2024-08-20,0.47,0.47,0.43,0.45,75200
2024-08-19,0.44,0.47,0.43,0.47,166800
2024-08-16,0.42,0.48,0.42,0.43,445500
2024-08-15,0.41,0.43,0.39,0.42,81000
2024-08-14,0.4,0.4,0.38,0.4,32300
2024-08-13,0.36,0.42,0.36,0.41,338500
2024-08-12,0.37,0.4,0.36,0.38,140900
2024-08-09,0.38,0.41,0.36,0.37,117200
2024-08-08,0.38,0.38,0.35,0.38,112100
2024-08-07,0.37,0.39,0.37,0.38,72100
2024-08-06,0.38,0.39,0.38,0.38,80400
