Date,Open,High,Low,Close,Volume
2025-03-13,1.45,1.52,1.42,1.48,11874
2025-03-12,1.44,1.49,1.39,1.48,36000
2025-03-11,1.36,1.44,1.33,1.44,32300
2025-03-10,1.53,1.53,1.38,1.39,31500
2025-03-07,1.66,1.66,1.44,1.54,37300
2025-03-06,1.54,1.75,1.54,1.63,87900
2025-03-05,1.55,1.6,1.46,1.58,60300
2025-03-04,1.45,1.65,1.37,1.53,122200
2025-03-03,1.51,1.78,1.39,1.45,113400
2025-02-28,1.85,1.85,1.43,1.6,154600
2025-02-27,1.91,2.04,1.79,1.85,23600
2025-02-26,1.99,2.18,1.9,1.91,39200
2025-02-25,1.85,1.87,1.68,1.85,50000
2025-02-24,2.09,2.1,1.67,1.82,262700
2025-02-21,2.28,2.28,2.01,2.09,65200
2025-02-20,2.33,2.38,2.23,2.23,22100
2025-02-19,2.29,2.5,2.19,2.32,95500
2025-02-18,2.68,2.69,2.15,2.23,174700
2025-02-14,2.73,2.8,2.6,2.72,34300
2025-02-13,2.84,2.84,2.66,2.82,59700
2025-02-12,3.11,3.14,2.61,2.88,91600
2025-02-11,2.72,3.42,2.72,3.14,309200
2025-02-10,2.68,2.73,2.49,2.73,114800
2025-02-07,2.6,2.68,2.32,2.48,50000
2025-02-06,2.42,2.53,2.36,2.53,50100
2025-02-05,2.37,2.48,2.28,2.42,73700
2025-02-04,2.34,2.4,2.23,2.32,59400
2025-02-03,2.08,2.33,1.95,2.32,78000
2025-01-31,2.37,2.45,2.04,2.14,94000
2025-01-30,2.04,2.35,1.98,2.35,73400
2025-01-29,1.72,2.07,1.72,1.96,89900
2025-01-28,2.1,2.13,1.63,1.75,166600
2025-01-27,2.3,2.35,1.9,2.09,139700
2025-01-24,2.79,2.89,2.02,2.21,238600
2025-01-23,2.92,2.94,2.55,2.79,154500
2025-01-22,2.57,2.99,2.57,2.91,353200
2025-01-21,2.36,2.65,2.24,2.51,232600
2025-01-17,2.06,2.43,2.06,2.27,403700
2025-01-16,1.91,2.17,1.91,2.05,101600
2025-01-15,1.88,1.97,1.85,1.94,43800
2025-01-14,1.82,2.04,1.82,1.87,31000
2025-01-13,1.94,1.94,1.75,1.85,64200
2025-01-10,2.11,2.11,1.8,1.84,82400
2025-01-08,2.1,2.1,1.86,2.02,67700
2025-01-07,1.98,2.14,1.95,2.09,65600
2025-01-06,2.07,2.07,1.86,1.93,117600
2025-01-03,2.1,2.11,1.82,1.87,97400
2025-01-02,1.86,2.17,1.85,2.12,266600
2024-12-31,1.85,1.94,1.82,1.86,34900
2024-12-30,1.86,1.9,1.76,1.85,80400
2024-12-27,1.91,1.98,1.75,1.87,56800
2024-12-26,1.57,2.0,1.57,1.98,268900
2024-12-24,1.64,1.68,1.57,1.67,11900
2024-12-23,1.51,1.69,1.46,1.64,73700
2024-12-20,1.41,1.52,1.37,1.5,57200
2024-12-19,1.79,1.8,1.4,1.47,71900
2024-12-18,1.91,1.91,1.68,1.7,70200
2024-12-17,1.85,1.98,1.62,1.71,147400
2024-12-16,1.5,2.0,1.5,1.86,288000
2024-12-13,1.39,1.5,1.38,1.48,53500
2024-12-12,1.36,1.49,1.34,1.39,52200
2024-12-11,1.35,1.35,1.28,1.3,23100
2024-12-10,1.38,1.41,1.31,1.34,32800
2024-12-09,1.41,1.49,1.31,1.37,31100
2024-12-06,1.69,1.69,1.27,1.41,150500
2024-12-05,1.7,2.02,1.41,1.62,476500
2024-12-04,1.2,1.8,1.2,1.76,335000
2024-12-03,1.32,1.5,1.17,1.2,250300
2024-12-02,0.95,1.54,0.91,1.43,3609100
2024-11-29,0.92,0.92,0.91,0.92,12800
2024-11-27,0.86,0.92,0.86,0.9,24700
2024-11-26,0.92,0.92,0.86,0.87,38000
2024-11-25,0.94,0.94,0.9,0.92,68800
2024-11-22,0.93,0.94,0.88,0.92,10100
2024-11-21,0.94,0.94,0.88,0.94,24200
2024-11-20,0.93,0.94,0.89,0.93,24200
2024-11-19,0.96,1.07,0.93,0.93,85800
2024-11-18,1.11,1.15,0.87,0.93,231200
2024-11-15,1.25,1.31,1.13,1.19,72000
2024-11-14,1.33,1.33,1.06,1.22,51200
2024-11-13,1.47,1.47,1.3,1.4,73700
2024-11-12,1.25,1.35,1.14,1.3,90900
2024-11-11,1.4,1.49,1.23,1.25,122300
2024-11-08,1.5,1.56,1.35,1.41,72900
2024-11-07,1.51,1.59,1.48,1.51,42000
2024-11-06,1.62,1.75,1.5,1.54,161400
2024-11-05,1.51,1.82,1.51,1.62,156400
2024-11-04,1.47,1.55,1.44,1.5,80900
2024-11-01,1.49,1.58,1.36,1.48,77300
2024-10-31,1.49,1.49,1.45,1.46,8700
2024-10-30,1.48,1.53,1.44,1.46,33900
2024-10-29,1.44,1.64,1.44,1.47,49500
2024-10-28,1.39,1.66,1.39,1.41,189600
2024-10-25,1.68,1.69,1.41,1.45,401200
2024-10-24,1.93,1.96,1.68,1.72,80700
2024-10-23,2.09,2.09,1.92,1.95,53400
2024-10-22,1.98,2.04,1.97,2.01,18000
2024-10-21,1.97,2.11,1.97,2.09,83000
2024-10-18,1.99,2.03,1.9,1.93,87700
2024-10-17,2.01,2.1,1.93,1.93,45100
2024-10-16,2.07,2.07,1.91,1.95,53100
2024-10-15,2.25,2.29,1.95,2.05,135600
2024-10-14,2.05,2.29,1.85,2.24,227800
2024-10-11,1.8,2.19,1.8,1.95,302700
2024-10-10,1.49,1.82,1.4,1.82,139500
2024-10-09,1.55,1.58,1.31,1.46,188200
2024-10-08,1.71,1.74,1.52,1.55,938900
2024-10-07,1.09,1.68,1.09,1.67,5553800
2024-10-04,0.89,1.15,0.88,1.02,4287500
2024-10-03,0.76,0.76,0.73,0.73,2000
2024-10-02,0.73,0.77,0.73,0.76,3000
2024-10-01,0.75,0.78,0.75,0.77,8400
2024-09-30,0.76,0.76,0.67,0.72,30800
2024-09-27,0.71,0.79,0.7,0.76,15000
2024-09-26,0.74,0.74,0.74,0.74,3200
2024-09-25,0.73,0.75,0.73,0.75,7800
2024-09-24,0.78,0.82,0.72,0.73,3500
2024-09-23,0.77,0.83,0.73,0.75,15800
2024-09-20,0.8,0.84,0.8,0.84,3200
2024-09-19,0.78,0.81,0.77,0.8,3500
2024-09-18,0.78,0.85,0.78,0.79,3100
2024-09-17,0.79,0.79,0.79,0.79,600
2024-09-16,0.84,0.85,0.78,0.78,16400
2024-09-13,0.82,0.82,0.79,0.79,7700
2024-09-12,0.83,0.86,0.79,0.79,30000
2024-09-11,0.83,0.83,0.79,0.83,7500
2024-09-10,0.83,0.83,0.82,0.82,3400
2024-09-09,0.86,0.87,0.82,0.84,11200
2024-09-06,0.82,0.87,0.81,0.81,6300
2024-09-05,0.84,0.87,0.83,0.87,19000
2024-09-04,0.8,0.89,0.77,0.87,55900
2024-09-03,0.82,0.82,0.78,0.81,4100
2024-08-30,0.84,0.84,0.8,0.81,9200
2024-08-29,0.89,0.9,0.84,0.85,24000
2024-08-28,0.89,0.92,0.87,0.92,27500
2024-08-27,0.88,0.92,0.82,0.92,35800
2024-08-26,0.77,0.88,0.77,0.87,19000
2024-08-23,0.76,0.81,0.71,0.71,7200
2024-08-22,0.75,0.77,0.71,0.77,5000
2024-08-21,0.76,0.77,0.65,0.77,7300
2024-08-20,0.76,0.8,0.7,0.72,4400
2024-08-19,0.73,0.75,0.73,0.73,2700
2024-08-16,0.8,0.8,0.73,0.75,7400
2024-08-15,0.75,0.8,0.75,0.8,11500
2024-08-14,0.8,0.83,0.75,0.75,64600
2024-08-13,0.79,0.79,0.73,0.73,58500
2024-08-12,0.71,0.79,0.68,0.79,2000
2024-08-09,0.79,0.79,0.68,0.71,7700
2024-08-08,0.71,0.79,0.66,0.76,2300
2024-08-07,0.69,0.72,0.66,0.69,2000
2024-08-06,0.62,0.74,0.53,0.69,4400
