Date,Open,High,Low,Close,Volume
2025-03-12,12.0,12.0,9.5,9.5,310
2025-03-11,10.0,10.0,10.0,10.0,0
2025-03-10,9.88,10.0,9.88,10.0,2500
2025-03-07,9.3,9.6,9.15,9.6,900
2025-03-06,9.5,9.5,9.5,9.5,200
2025-03-05,9.15,9.15,9.15,9.15,5300
2025-03-04,9.15,9.15,9.1,9.1,4700
2025-03-03,9.7,9.7,9.7,9.7,0
2025-02-28,9.7,9.7,9.7,9.7,0
2025-02-27,9.7,9.7,9.7,9.7,0
2025-02-26,9.7,9.7,9.7,9.7,1900
2025-02-25,9.7,9.7,9.7,9.7,2600
2025-02-24,9.7,9.9,9.7,9.7,4300
2025-02-21,10.0,10.0,10.0,10.0,0
2025-02-20,10.0,10.0,10.0,10.0,1000
2025-02-19,10.0,10.0,10.0,10.0,0
2025-02-18,10.0,10.0,10.0,10.0,1200
2025-02-14,9.8,10.0,9.8,10.0,1100
2025-02-13,10.0,10.0,9.7,9.7,500
2025-02-12,9.25,9.7,9.25,9.7,2700
2025-02-11,9.0,9.2,9.0,9.2,8100
2025-02-10,8.8,8.8,8.8,8.8,300
2025-02-07,8.8,8.8,8.8,8.8,0
2025-02-06,8.8,8.8,8.8,8.8,0
2025-02-05,8.8,8.8,8.8,8.8,3400
2025-02-04,7.01,9.2,7.01,8.5,2100
2025-02-03,9.5,9.5,9.5,9.5,100
2025-01-31,8.9,9.49,8.9,9.49,1100
2025-01-30,9.05,9.05,9.05,9.05,0
2025-01-29,9.05,9.05,7.01,9.05,1100
2025-01-28,9.0,9.05,9.0,9.05,1900
2025-01-27,8.2,9.0,8.2,8.5,1300
2025-01-24,7.25,7.25,7.25,7.25,500
2025-01-23,9.0,9.0,7.01,7.01,800
2025-01-22,9.0,9.0,9.0,9.0,1200
2025-01-21,8.5,8.64,8.5,8.5,1500
2025-01-17,8.25,8.55,8.18,8.55,1700
2025-01-16,8.24,8.24,8.24,8.24,0
2025-01-15,8.1,8.25,8.1,8.24,500
2025-01-14,8.1,8.1,8.1,8.1,0
2025-01-13,8.1,8.1,8.1,8.1,300
2025-01-10,8.11,8.11,8.11,8.11,400
2025-01-08,8.0,8.5,8.0,8.5,700
2025-01-07,7.99,8.0,7.99,7.99,8800
2025-01-06,7.8,7.8,7.8,7.8,2200
2025-01-03,7.8,7.8,7.0,7.8,2700
2025-01-02,7.89,7.89,7.0,7.8,2800
2024-12-31,8.5,8.5,7.89,7.89,2100
2024-12-30,8.0,8.5,8.0,8.5,500
2024-12-27,8.0,8.0,7.53,8.0,1600
2024-12-26,7.0,8.0,7.0,8.0,1100
2024-12-24,7.0,7.0,7.0,7.0,100
2024-12-23,5.0,7.0,5.0,7.0,1200
2024-12-20,5.0,5.0,4.88,5.0,500
2024-12-19,4.5,5.0,3.75,5.0,1000
2024-12-18,4.49,4.49,4.49,4.49,0
2024-12-17,3.75,4.49,3.75,4.49,900
2024-12-16,4.25,4.25,4.25,4.25,0
2024-12-13,4.5,4.51,4.25,4.25,1700
2024-12-12,4.48,4.48,3.61,4.44,3300
2024-12-11,4.02,4.3,3.51,4.3,2900
2024-12-10,4.1,4.45,4.1,4.25,2200
2024-12-09,4.0,4.0,3.57,4.0,900
2024-12-06,4.0,4.0,4.0,4.0,0
2024-12-05,3.99,4.0,3.99,4.0,600
2024-12-04,4.0,4.0,4.0,4.0,100
2024-12-03,3.7,3.7,3.7,3.7,0
2024-12-02,3.99,3.99,3.7,3.7,2200
2024-11-29,3.7,3.7,3.7,3.7,400
2024-11-27,3.7,3.7,3.7,3.7,0
2024-11-26,3.7,3.7,3.7,3.7,200
2024-11-25,3.35,3.7,2.48,3.7,1200
