Date,Open,High,Low,Close,Volume
2025-03-13,1.22,1.23,1.14,1.22,139631
2025-03-12,1.29,1.29,1.21,1.23,94700
2025-03-11,1.26,1.3,1.2,1.3,94300
2025-03-10,1.2,1.26,1.2,1.23,134700
2025-03-07,1.32,1.39,1.21,1.23,81000
2025-03-06,1.22,1.38,1.22,1.33,131100
2025-03-05,1.24,1.25,1.18,1.24,117300
2025-03-04,1.18,1.28,1.18,1.23,171600
2025-03-03,1.32,1.34,1.18,1.22,155600
2025-02-28,1.21,1.37,1.21,1.32,200300
2025-02-27,1.39,1.4,1.18,1.19,190900
2025-02-26,1.89,1.9,1.41,1.44,407300
2025-02-25,1.6,1.94,1.46,1.91,565000
2025-02-24,1.41,1.86,1.4,1.72,1224200
2025-02-21,1.31,1.4,1.31,1.37,179800
2025-02-20,1.27,1.31,1.24,1.29,247500
2025-02-19,1.24,1.28,1.21,1.26,130000
2025-02-18,1.3,1.36,1.24,1.26,99900
2025-02-14,1.26,1.36,1.24,1.33,132800
2025-02-13,1.18,1.26,1.16,1.25,85000
2025-02-12,1.18,1.22,1.14,1.19,76800
2025-02-11,1.15,1.19,1.1,1.19,83700
2025-02-10,1.2,1.22,1.11,1.12,114200
2025-02-07,1.24,1.27,1.16,1.18,146400
2025-02-06,1.27,1.27,1.2,1.24,54000
2025-02-05,1.2,1.27,1.2,1.25,62900
2025-02-04,1.28,1.29,1.18,1.23,87900
2025-02-03,1.13,1.32,1.12,1.28,201900
2025-01-31,1.27,1.32,1.12,1.16,202200
2025-01-30,1.32,1.36,1.25,1.25,106600
2025-01-29,1.2,1.35,1.2,1.32,244300
2025-01-28,1.14,1.21,1.11,1.18,110300
2025-01-27,1.14,1.21,1.13,1.14,140000
2025-01-24,1.15,1.24,1.15,1.16,132000
2025-01-23,1.13,1.2,1.13,1.16,80000
2025-01-22,1.15,1.24,1.12,1.12,89600
2025-01-21,1.12,1.21,1.11,1.15,113100
2025-01-17,1.1,1.11,1.06,1.11,117300
2025-01-16,1.18,1.18,1.09,1.09,60900
2025-01-15,1.17,1.22,1.13,1.19,58600
2025-01-14,1.17,1.18,1.11,1.12,80500
2025-01-13,1.15,1.21,1.11,1.19,98700
2025-01-10,1.2,1.24,1.17,1.19,147900
2025-01-08,1.27,1.28,1.23,1.23,96900
2025-01-07,1.28,1.34,1.25,1.27,94200
2025-01-06,1.34,1.38,1.25,1.27,147300
2025-01-03,1.22,1.39,1.21,1.34,224200
2025-01-02,1.31,1.35,1.2,1.21,175800
2024-12-31,1.2,1.23,1.13,1.21,171200
2024-12-30,1.2,1.31,1.16,1.17,472300
2024-12-27,1.12,1.32,1.1,1.24,206400
2024-12-26,1.09,1.14,1.08,1.11,114500
2024-12-24,1.09,1.12,1.06,1.11,33000
2024-12-23,1.18,1.18,1.08,1.1,125400
2024-12-20,1.02,1.16,1.02,1.15,576600
2024-12-19,1.07,1.14,1.04,1.04,194300
2024-12-18,1.17,1.19,1.08,1.08,248700
2024-12-17,1.07,1.17,1.07,1.15,150700
2024-12-16,1.15,1.18,1.08,1.09,221300
2024-12-13,1.19,1.2,1.09,1.14,125500
2024-12-12,1.33,1.34,1.16,1.2,237100
2024-12-11,1.3,1.38,1.25,1.33,182500
2024-12-10,1.27,1.32,1.22,1.3,180900
2024-12-09,1.26,1.38,1.25,1.25,256000
2024-12-06,1.3,1.35,1.18,1.25,423200
2024-12-05,1.23,1.34,1.18,1.31,282300
2024-12-04,1.15,1.38,1.14,1.25,2155000
2024-12-03,1.08,1.19,1.06,1.13,394300
2024-12-02,1.11,1.13,1.05,1.09,213500
2024-11-29,1.1,1.14,1.1,1.1,113300
2024-11-27,1.06,1.1,1.05,1.09,104700
2024-11-26,1.05,1.12,1.01,1.08,246000
2024-11-25,1.01,1.04,0.98,1.01,362200
