Date,Open,High,Low,Close,Volume
2025-03-21,178.02,180.47,177.29,177.42,6618400
2025-03-20,177.39,182.01,177.33,178.88,2038500
2025-03-19,178.94,179.78,176.47,179.0,2208500
2025-03-18,182.0,182.0,179.11,179.35,1698700
2025-03-17,183.29,186.5,182.2,183.61,1771100
2025-03-14,182.49,183.89,180.34,181.33,1650500
2025-03-13,182.97,186.29,180.45,181.59,2364400
2025-03-12,182.83,184.25,181.45,183.85,2146400
2025-03-11,188.22,189.09,182.66,185.26,2288400
2025-03-10,185.94,192.43,185.38,189.47,3555700
2025-03-07,178.48,188.7,178.23,186.25,3980200
2025-03-06,172.97,179.53,171.51,178.95,3285800
2025-03-05,172.96,176.0,171.81,174.18,2551800
2025-03-04,174.24,175.86,170.73,172.56,3421200
2025-03-03,176.01,178.19,173.89,175.28,2682400
2025-02-28,174.97,176.7,173.03,175.5,2913300
2025-02-27,172.42,174.3,170.7,173.24,3246400
2025-02-26,179.47,180.25,176.45,178.35,4580500
2025-02-25,180.2,180.84,175.81,178.02,3687600
2025-02-24,177.2,181.56,176.05,178.97,3883300
2025-02-21,174.4,176.83,171.9,175.97,3977300
2025-02-20,172.6,173.37,169.3,172.33,4445100
2025-02-19,170.51,173.47,169.75,172.42,3210000
2025-02-18,168.22,172.6,165.42,169.38,6213300
2025-02-14,164.51,165.19,161.06,162.94,2313300
2025-02-13,162.98,163.69,160.93,163.2,3244100
2025-02-12,164.0,164.29,160.46,161.05,2524500
2025-02-11,164.71,164.85,161.0,164.74,3343200
2025-02-10,168.91,169.19,164.92,165.0,2309400
2025-02-07,170.41,171.69,168.16,169.0,1611100
2025-02-06,173.16,173.47,169.71,169.96,1690500
2025-02-05,172.4,172.92,170.8,171.84,1314900
2025-02-04,172.73,174.25,170.7,171.57,2080300
2025-02-03,167.26,177.19,165.04,173.38,4398900
2025-01-31,182.91,183.31,178.95,179.73,2190500
2025-01-30,182.06,186.03,181.04,183.23,2034400
2025-01-29,182.85,182.96,180.16,181.15,1848400
2025-01-28,185.49,187.44,181.69,182.01,1729400
2025-01-27,183.62,187.83,182.86,186.83,2629400
2025-01-24,179.89,182.34,178.91,182.02,2462500
2025-01-23,178.57,178.61,175.88,178.44,2562400
2025-01-22,182.37,182.37,177.32,177.9,2237700
2025-01-21,183.79,183.91,178.81,182.0,3960500
2025-01-17,185.31,186.38,182.13,183.22,2839800
2025-01-16,179.25,185.37,178.94,183.48,3349000
2025-01-15,183.6,183.64,179.09,179.65,2964200
2025-01-14,183.04,185.04,179.37,181.12,3354900
2025-01-13,177.71,187.95,175.47,184.81,5460700
2025-01-10,201.91,206.68,178.49,180.74,8701700
2025-01-08,216.19,219.29,216.19,217.98,1728200
2025-01-07,222.37,224.88,216.77,217.22,1992900
2025-01-06,222.68,227.54,221.08,221.61,1933000
2025-01-03,216.51,220.86,216.24,220.61,1844100
2025-01-02,220.06,222.57,219.93,221.26,1154700
2024-12-31,218.9,220.87,218.24,219.69,960500
2024-12-30,221.35,221.49,218.27,218.36,1143400
2024-12-27,221.67,223.27,220.0,221.39,1190100
2024-12-26,222.97,224.85,222.64,222.95,951900
2024-12-24,224.42,224.67,222.0,224.07,579600
2024-12-23,225.5,226.93,222.36,225.02,1394800
