Date,Open,High,Low,Close,Volume
2025-03-13,12.0,12.41,11.91,12.37,3742362
2025-03-12,12.0,12.35,12.0,12.23,9250400
2025-03-11,12.43,12.83,12.07,12.21,16216600
2025-03-10,13.0,13.02,12.56,12.87,6871500
2025-03-07,13.3,13.57,13.08,13.32,5249500
2025-03-06,13.64,13.79,13.06,13.32,8031500
2025-03-05,13.0,13.65,12.98,13.48,8533700
2025-03-04,12.5,12.77,12.38,12.65,6038800
2025-03-03,12.2,12.61,12.18,12.34,7644800
2025-02-28,12.3,12.4,11.96,12.19,11201600
2025-02-27,12.63,12.96,12.57,12.75,8596800
2025-02-26,13.06,13.34,12.72,12.93,7183800
2025-02-25,13.16,13.24,12.57,12.71,9175900
2025-02-24,13.83,13.83,12.88,12.98,15347200
2025-02-21,13.38,14.69,13.37,14.38,24768300
2025-02-20,13.32,13.6,12.57,12.83,9053900
2025-02-19,13.56,13.57,13.02,13.1,10307500
2025-02-18,13.47,13.63,13.31,13.61,6432000
2025-02-14,13.5,13.65,13.14,13.61,13320300
2025-02-13,12.54,12.97,12.5,12.76,7812900
2025-02-12,12.4,12.91,12.22,12.66,6389800
2025-02-11,12.22,12.67,11.98,12.44,7609800
2025-02-10,12.88,12.98,12.39,12.47,6812200
2025-02-07,12.29,12.55,12.22,12.54,5909200
2025-02-06,12.0,12.16,11.93,12.07,4897200
2025-02-05,11.85,11.89,11.61,11.75,5916500
2025-02-04,11.98,12.34,11.92,12.01,9511700
2025-02-03,11.79,12.16,11.61,11.77,4220400
2025-01-31,12.11,12.21,11.91,11.98,6220800
2025-01-30,11.8,12.41,11.72,12.27,4870100
2025-01-29,11.91,11.96,11.54,11.64,4387400
2025-01-28,11.72,11.79,11.4,11.78,5212600
2025-01-27,11.77,12.13,11.71,11.8,10591800
2025-01-24,11.2,11.64,11.08,11.59,6341200
2025-01-23,11.03,11.18,10.91,11.05,2499400
2025-01-22,11.09,11.24,10.95,11.15,5159400
2025-01-21,11.07,11.24,10.92,11.1,8794400
2025-01-17,10.45,11.22,10.44,10.78,7671700
