Date,Open,High,Low,Close,Volume
2025-03-14,253.49,257.46,252.49,255.98,3510100
2025-03-13,256.73,263.28,256.26,259.1,4196600
2025-03-12,254.51,256.96,248.26,255.61,3983000
2025-03-11,258.8,259.92,252.52,256.67,5171100
2025-03-10,263.99,271.59,263.35,266.63,5173500
2025-03-07,262.43,266.61,261.33,265.24,3289600
2025-03-06,261.48,263.97,259.33,262.95,3276500
2025-03-05,261.01,263.54,257.48,262.74,5161000
2025-03-04,273.12,274.95,264.45,264.65,4694600
2025-03-03,269.29,276.49,269.29,272.83,4025400
2025-02-28,266.27,269.99,263.89,269.69,4721100
2025-02-27,262.35,265.4,261.27,263.29,3562000
2025-02-26,265.28,266.61,261.09,262.7,4473400
2025-02-25,268.33,271.79,267.39,269.64,3516500
2025-02-24,267.08,272.49,266.68,267.24,4141300
2025-02-21,264.56,266.77,262.62,264.29,3554300
2025-02-20,262.12,264.86,261.29,264.52,2794700
2025-02-19,261.82,263.37,258.96,262.47,3787700
2025-02-18,269.1,269.85,261.68,262.33,3879300
2025-02-14,265.8,270.51,263.52,269.92,4835300
2025-02-13,254.2,265.11,254.15,264.2,3859900
2025-02-12,255.54,258.73,254.31,254.43,3220000
2025-02-11,254.27,258.6,252.51,257.84,2598200
2025-02-10,254.08,255.63,250.41,254.98,4887600
2025-02-07,246.68,249.67,245.28,245.42,3434400
2025-02-06,242.8,246.78,242.61,246.35,3272200
2025-02-05,237.06,241.89,236.85,241.62,3130700
2025-02-04,235.52,240.04,234.61,236.46,3285900
2025-02-03,235.15,237.56,231.83,237.31,3720000
2025-01-31,233.72,234.7,230.23,232.19,3337900
2025-01-30,238.41,240.04,233.19,233.59,4205200
2025-01-29,237.21,240.6,232.45,234.37,8859500
2025-01-28,219.48,223.41,218.07,220.4,3975500
2025-01-27,216.07,222.59,216.07,220.69,4153100
2025-01-24,216.13,217.87,215.02,217.84,3118500
2025-01-23,217.93,218.68,214.65,215.32,3628400
2025-01-22,218.46,220.12,217.35,217.45,4124000
2025-01-21,217.51,219.55,217.4,218.76,3700400
2025-01-17,218.48,218.77,216.91,218.24,4259900
2025-01-16,212.68,216.02,212.68,215.03,2411200
2025-01-15,215.42,216.84,213.17,213.49,3116000
2025-01-14,212.72,213.92,210.64,213.47,3537400
2025-01-13,210.63,214.69,210.01,212.75,3645000
2025-01-10,211.92,212.74,209.13,210.6,4175400
2025-01-08,213.52,215.04,211.49,214.8,3270000
2025-01-07,210.68,214.71,210.68,211.63,5039300
2025-01-06,212.74,214.28,207.7,211.67,5639700
2025-01-03,220.41,220.61,218.14,218.38,2737900
2025-01-02,221.44,221.78,217.92,218.8,2850500
2024-12-31,219.43,220.93,219.15,219.99,2119900
2024-12-30,222.03,222.28,218.49,219.92,2160900
2024-12-27,221.36,223.31,220.52,222.28,2150000
2024-12-26,220.26,223.92,219.8,222.93,1902600
2024-12-24,221.06,222.95,220.45,222.27,1411800
2024-12-23,219.16,221.67,217.16,220.92,3081600
2024-12-20,217.27,220.73,217.26,219.58,9116100
2024-12-19,219.33,221.01,217.06,217.27,4957700
2024-12-18,218.67,222.46,218.59,219.95,5197100
2024-12-17,228.56,228.93,218.19,219.97,7729800
2024-12-16,232.31,232.55,227.61,228.71,4489700
2024-12-13,232.02,232.02,229.96,231.17,2895400
2024-12-12,230.36,233.16,229.25,232.49,4067600
2024-12-11,232.41,236.03,232.25,233.56,3439400
2024-12-10,234.06,234.84,229.84,232.72,5352700
2024-12-09,242.18,243.03,227.33,228.1,6267400
2024-12-06,243.34,244.74,242.76,242.97,2177100
2024-12-05,242.19,244.23,241.22,243.13,2676200
2024-12-04,243.65,244.18,241.36,242.27,2682900
2024-12-03,244.15,245.33,242.88,244.03,2668800
2024-12-02,246.12,246.99,242.7,244.0,3263900
2024-11-29,244.99,246.66,243.63,246.12,1806000
2024-11-27,244.32,247.32,243.1,245.38,3346600
2024-11-26,240.14,243.48,239.8,243.23,3251100
2024-11-25,237.69,239.16,236.86,238.28,5513100
2024-11-22,234.81,238.03,234.65,236.63,2540800
2024-11-21,234.04,235.69,232.32,234.94,2490100
2024-11-20,231.59,234.0,231.59,233.84,2603100
2024-11-19,235.39,235.39,231.22,231.59,3830100
2024-11-18,235.28,237.35,232.94,235.39,2442900
2024-11-15,236.47,237.53,233.43,233.98,3939900
2024-11-14,239.34,240.76,235.89,236.11,3925000
2024-11-13,237.61,239.42,236.85,239.21,3820300
2024-11-12,236.32,237.48,234.63,237.35,4226700
2024-11-11,234.26,237.48,233.23,236.67,3383000
2024-11-08,232.06,235.1,231.56,233.68,3452000
2024-11-07,230.45,231.69,228.41,229.89,2561700
2024-11-06,228.91,231.34,227.66,230.59,4115900
2024-11-05,224.53,225.74,223.4,225.54,2864800
2024-11-04,222.83,223.44,221.76,222.7,2453900
2024-11-01,221.46,223.03,221.06,221.74,2922100
2024-10-31,221.8,224.3,221.08,221.62,4152400
2024-10-30,223.88,224.17,220.95,221.23,4218000
2024-10-29,226.15,227.18,224.22,224.49,3150700
2024-10-28,226.96,226.98,224.91,226.24,2732300
2024-10-25,231.94,232.94,223.68,224.8,6478100
2024-10-24,221.86,232.78,219.47,231.95,6920400
2024-10-23,216.03,220.29,215.23,219.42,5245700
2024-10-22,217.44,219.59,217.2,217.5,6066900
2024-10-21,221.2,222.36,219.76,221.23,4614400
2024-10-18,219.97,221.91,219.38,221.67,3334300
2024-10-17,219.14,221.19,218.38,220.42,3177700
2024-10-16,214.77,219.16,214.6,218.24,2730100
2024-10-15,214.42,216.82,214.15,215.53,3382500
2024-10-14,212.52,214.76,212.25,214.42,2655700
2024-10-11,211.19,212.36,210.7,211.57,1778500
2024-10-10,211.98,213.69,209.48,209.99,2601700
2024-10-09,209.71,211.99,209.05,210.62,2243600
2024-10-08,207.26,210.77,207.26,209.71,3310400
2024-10-07,206.26,208.63,205.98,206.89,2651400
2024-10-04,205.78,207.29,204.75,206.84,2654800
2024-10-03,206.03,207.81,206.01,206.59,2902100
2024-10-02,204.45,206.92,203.97,206.64,2245100
2024-10-01,203.88,204.92,201.37,204.68,3702000
2024-09-30,204.89,206.04,203.3,204.93,3243600
2024-09-27,201.85,204.3,201.41,203.76,3158000
2024-09-26,201.09,206.72,200.42,201.85,2629200
2024-09-25,200.91,202.48,200.32,201.9,2666800
2024-09-24,199.61,202.32,199.49,200.05,4411300
2024-09-23,197.72,201.48,197.32,201.06,4545600
2024-09-20,196.75,198.3,196.1,198.06,12281900
2024-09-19,197.7,200.06,195.64,198.26,6172700
2024-09-18,201.35,204.68,194.12,195.32,7300300
2024-09-17,203.74,204.07,200.39,201.3,3619500
2024-09-16,203.53,204.88,202.24,204.43,2867600
2024-09-13,200.6,201.85,199.33,201.43,1935400
