Date,Open,High,Low,Close,Volume
2025-03-21,6.1,6.21,6.09,6.13,2400
2025-03-20,6.12,6.34,6.0,6.11,14900
2025-03-19,5.93,6.1,5.93,6.06,6200
2025-03-18,5.95,6.06,5.94,6.03,7400
2025-03-17,5.94,6.05,5.94,6.04,9400
2025-03-14,5.76,5.99,5.76,5.97,14000
2025-03-13,5.98,6.02,5.77,5.92,6400
2025-03-12,6.06,6.06,5.86,5.96,5200
2025-03-11,5.98,6.01,5.74,6.01,7600
2025-03-10,6.07,6.07,5.72,6.02,11700
2025-03-07,5.94,6.05,5.93,6.05,6000
2025-03-06,5.97,6.01,5.9,6.01,16900
2025-03-05,6.02,6.04,5.96,6.04,5800
2025-03-04,6.05,6.06,5.88,6.0,12500
2025-03-03,5.93,6.07,5.93,6.03,13800
2025-02-28,5.99,6.12,5.91,6.03,11100
2025-02-27,6.01,6.13,5.89,6.02,7600
2025-02-26,6.06,6.18,6.01,6.12,7900
2025-02-25,6.2,6.2,6.05,6.06,10900
2025-02-24,5.99,6.28,5.8,6.24,31900
2025-02-21,5.85,5.97,5.83,5.83,7500
2025-02-20,6.08,6.11,5.8,5.91,6300
2025-02-19,5.82,6.05,5.78,5.97,7100
2025-02-18,6.01,6.06,5.85,5.85,2500
2025-02-14,6.17,6.17,6.02,6.09,2600
2025-02-13,5.96,6.12,5.82,6.0,8300
2025-02-12,6.26,6.26,5.95,6.11,7500
2025-02-11,6.0,6.2,5.98,5.98,2800
2025-02-10,6.19,6.2,5.99,6.02,4400
2025-02-07,6.09,6.29,5.92,6.01,6100
2025-02-06,5.98,6.14,5.76,6.01,6700
2025-02-05,6.25,6.43,6.14,6.14,3000
2025-02-04,5.98,6.29,5.97,6.16,5700
2025-02-03,5.94,6.29,5.94,6.16,6800
2025-01-31,6.44,6.44,5.94,6.11,13500
2025-01-30,6.2,6.38,6.2,6.3,3000
2025-01-29,6.36,6.36,6.2,6.21,2400
2025-01-28,6.5,6.62,6.11,6.2,13000
2025-01-27,6.66,6.88,6.33,6.44,9500
2025-01-24,6.94,6.94,6.3,6.83,4600
2025-01-23,6.62,6.73,6.37,6.62,3600
2025-01-22,6.51,6.94,6.51,6.83,4900
2025-01-21,7.0,7.0,6.51,6.72,6600
2025-01-17,6.67,6.89,6.66,6.78,6300
2025-01-16,6.67,7.01,6.67,6.76,7200
2025-01-15,7.25,7.25,6.82,7.0,5800
2025-01-14,6.91,7.29,6.7,6.98,4800
2025-01-13,6.81,7.29,6.81,7.1,12900
2025-01-10,6.94,7.15,6.87,7.05,14400
2025-01-08,7.2,7.6,6.92,7.11,11200
2025-01-07,6.97,7.29,6.7,7.2,31800
2025-01-06,6.8,7.0,6.67,6.81,37600
2025-01-03,6.29,6.73,6.21,6.73,13700
2025-01-02,6.0,6.3,6.0,6.13,7400
2024-12-31,5.95,6.2,5.75,6.03,18700
2024-12-30,6.06,6.17,5.91,6.07,16600
2024-12-27,6.06,6.21,6.06,6.12,7200
2024-12-26,6.01,6.2,6.01,6.11,7100
2024-12-24,5.9,6.18,5.62,6.15,14400
2024-12-23,5.75,6.03,5.51,6.0,39400
2024-12-20,5.8,5.85,5.54,5.75,14700
2024-12-19,5.71,5.9,5.3,5.5,20400
2024-12-18,5.96,6.2,5.5,5.6,13100
2024-12-17,5.95,6.17,5.88,5.93,16800
2024-12-16,5.94,6.13,5.77,6.13,13500
2024-12-13,6.37,6.37,6.15,6.21,4200
2024-12-12,6.27,6.4,5.93,6.32,14000
2024-12-11,6.6,6.9,6.28,6.3,18800
2024-12-10,6.99,7.0,6.5,6.78,12000
2024-12-09,7.33,7.5,6.7,6.83,26100
2024-12-06,7.79,7.79,7.25,7.35,9700
2024-12-05,7.42,7.8,7.42,7.5,3700
2024-12-04,7.82,7.85,7.31,7.58,7200
2024-12-03,7.5,8.0,7.41,7.68,7400
