Date,Open,High,Low,Close,Volume
2025-03-21,0.05,0.07,0.05,0.07,2700
2025-03-20,0.06,0.06,0.05,0.05,1100
2025-03-19,0.05,0.05,0.05,0.05,1700
2025-03-18,0.05,0.05,0.05,0.05,5500
2025-03-17,0.05,0.07,0.05,0.05,16300
2025-03-14,0.05,0.05,0.05,0.05,10400
2025-03-13,0.05,0.07,0.05,0.05,3100
2025-03-12,0.05,0.05,0.05,0.05,0
2025-03-11,0.05,0.05,0.05,0.05,15000
2025-03-10,0.06,0.06,0.05,0.05,8400
2025-03-07,0.06,0.06,0.05,0.05,21100
2025-03-06,0.05,0.05,0.05,0.05,126300
2025-03-05,0.05,0.06,0.05,0.05,55500
2025-03-04,0.06,0.06,0.05,0.06,171200
2025-03-03,0.07,0.08,0.06,0.06,361600
2025-02-28,0.06,0.06,0.06,0.06,117000
2025-02-27,0.08,0.08,0.06,0.06,213900
2025-02-26,0.06,0.08,0.06,0.07,727700
2025-02-25,0.07,0.07,0.06,0.07,71300
2025-02-24,0.06,0.07,0.06,0.07,71400
2025-02-21,0.07,0.07,0.06,0.06,11100
2025-02-20,0.07,0.07,0.06,0.07,57300
2025-02-19,0.06,0.06,0.06,0.06,69500
2025-02-18,0.06,0.06,0.06,0.06,4500
2025-02-14,0.06,0.06,0.06,0.06,22300
2025-02-13,0.07,0.07,0.06,0.06,31800
2025-02-12,0.05,0.06,0.05,0.06,28500
2025-02-11,0.05,0.05,0.05,0.05,4300
2025-02-10,0.05,0.05,0.05,0.05,63000
2025-02-07,0.05,0.05,0.05,0.05,2100
2025-02-06,0.04,0.06,0.04,0.05,75100
2025-02-05,0.04,0.04,0.04,0.04,500
2025-02-04,0.04,0.04,0.04,0.04,27900
2025-02-03,0.04,0.05,0.04,0.04,8900
2025-01-31,0.04,0.05,0.04,0.04,7700
2025-01-30,0.04,0.04,0.04,0.04,2300
2025-01-29,0.04,0.04,0.04,0.04,62600
2025-01-28,0.04,0.05,0.04,0.04,6200
2025-01-27,0.05,0.06,0.04,0.05,27100
2025-01-24,0.05,0.05,0.05,0.05,2800
2025-01-23,0.05,0.05,0.05,0.05,5600
2025-01-22,0.05,0.06,0.05,0.05,4800
2025-01-21,0.05,0.05,0.05,0.05,5800
2025-01-17,0.06,0.06,0.06,0.06,4900
2025-01-16,0.06,0.08,0.06,0.06,174500
2025-01-15,0.06,0.07,0.06,0.07,31300
2025-01-14,0.05,0.07,0.05,0.06,31700
2025-01-13,0.05,0.07,0.05,0.07,11500
2025-01-10,0.06,0.07,0.06,0.06,31300
2025-01-08,0.07,0.08,0.06,0.06,15500
2025-01-07,0.07,0.07,0.07,0.07,2000
2025-01-06,0.07,0.08,0.07,0.07,25100
2025-01-03,0.05,0.08,0.05,0.07,147600
2025-01-02,0.05,0.05,0.05,0.05,5100
2024-12-31,0.04,0.07,0.04,0.07,11700
2024-12-30,0.05,0.07,0.04,0.06,241900
2024-12-27,0.05,0.07,0.05,0.07,70400
2024-12-26,0.05,0.07,0.05,0.07,14700
2024-12-24,0.05,0.07,0.05,0.06,29100
2024-12-23,0.04,0.06,0.04,0.05,50300
2024-12-20,0.05,0.05,0.04,0.05,196400
2024-12-19,0.05,0.06,0.05,0.05,120300
2024-12-18,0.05,0.05,0.05,0.05,41400
2024-12-17,0.05,0.05,0.05,0.05,44600
2024-12-16,0.05,0.05,0.05,0.05,10300
2024-12-13,0.05,0.06,0.05,0.05,25300
2024-12-12,0.05,0.06,0.05,0.05,237300
2024-12-11,0.05,0.05,0.05,0.05,48200
2024-12-10,0.06,0.06,0.04,0.05,473100
2024-12-09,0.06,0.07,0.06,0.06,6100
2024-12-06,0.06,0.07,0.06,0.06,41200
2024-12-05,0.06,0.07,0.06,0.06,12200
2024-12-04,0.06,0.08,0.06,0.06,58900
2024-12-03,0.05,0.06,0.05,0.05,18400
2024-12-02,0.06,0.06,0.05,0.05,34400
2024-11-29,0.06,0.07,0.06,0.06,41500
2024-11-27,0.06,0.07,0.06,0.06,47800
2024-11-26,0.08,0.08,0.06,0.06,19100
2024-11-25,0.06,0.08,0.06,0.07,127700
2024-11-22,0.04,0.07,0.04,0.07,477000
2024-11-21,0.05,0.05,0.04,0.04,47900
2024-11-20,0.03,0.06,0.03,0.05,491100
2024-11-19,0.03,0.04,0.03,0.03,34400
2024-11-18,0.03,0.04,0.03,0.03,132400
2024-11-15,0.03,0.03,0.03,0.03,3700
2024-11-14,0.03,0.03,0.03,0.03,84300
2024-11-13,0.03,0.03,0.03,0.03,148100
2024-11-12,0.03,0.03,0.03,0.03,14500
2024-11-11,0.03,0.03,0.03,0.03,12700
