Date,Open,High,Low,Close,Volume
2025-03-13,11.18,11.32,11.18,11.26,17372804
2025-03-12,11.25,11.26,11.15,11.2,16491000
2025-03-11,11.28,11.32,11.15,11.21,33512300
2025-03-10,11.31,11.37,11.2,11.28,40297200
2025-03-07,11.38,11.53,11.32,11.39,104361100
2025-03-06,10.76,10.78,10.56,10.6,13917700
2025-03-05,10.85,11.02,10.51,10.75,24826000
2025-03-04,10.77,11.25,10.7,10.84,40593600
2025-03-03,10.68,10.8,10.14,10.26,20261700
2025-02-28,10.63,11.49,10.48,10.68,52407400
2025-02-27,11.7,11.85,11.19,11.23,18971100
2025-02-26,11.3,11.48,10.96,11.04,20574800
2025-02-25,10.91,11.44,10.72,11.38,23000200
2025-02-24,10.1,11.11,9.96,10.82,31360900
2025-02-21,10.5,10.56,10.13,10.16,24347700
2025-02-20,10.81,10.97,10.1,10.51,21159000
2025-02-19,10.9,11.04,10.75,10.79,22117400
2025-02-18,9.7,11.18,9.62,11.06,45351300
2025-02-14,9.79,9.86,9.66,9.7,12494200
2025-02-13,9.51,9.81,9.44,9.75,13199800
2025-02-12,9.37,9.6,9.34,9.47,16073000
2025-02-11,9.67,9.8,9.32,9.36,22907600
2025-02-10,10.11,10.13,9.88,9.97,11157400
2025-02-07,10.09,10.15,9.82,10.12,12679900
2025-02-06,10.14,10.28,9.95,10.05,13372700
2025-02-05,9.86,10.27,9.78,10.12,18529700
2025-02-04,9.67,9.99,9.61,9.89,23883400
2025-02-03,9.91,10.15,9.75,9.76,31733800
2025-01-31,9.95,10.75,9.52,10.28,91510600
2025-01-30,11.25,11.6,11.25,11.46,17338000
2025-01-29,10.88,11.42,10.87,11.25,16862800
2025-01-28,11.27,11.32,10.7,10.89,19020700
2025-01-27,11.98,12.13,10.66,11.34,36468400
2025-01-24,11.65,11.87,11.56,11.87,12999000
2025-01-23,11.61,12.09,11.48,11.74,17669200
2025-01-22,11.25,11.64,11.13,11.62,20153400
2025-01-21,11.72,11.74,10.77,11.37,50854600
2025-01-17,13.03,13.25,12.43,12.52,34974400
2025-01-16,12.4,12.97,12.32,12.93,18807000
2025-01-15,12.46,12.57,12.02,12.53,24092800
2025-01-14,11.93,12.35,11.74,12.24,33235700
2025-01-13,11.65,11.94,10.96,11.9,36278300
2025-01-10,10.6,12.0,10.5,11.76,104115900
2025-01-08,9.5,9.55,9.2,9.22,22071500
2025-01-07,9.58,10.1,9.55,9.67,20448300
2025-01-06,9.6,9.97,9.41,9.47,21102800
2025-01-03,9.2,9.52,9.13,9.5,14320700
2025-01-02,9.39,9.59,9.07,9.19,17482500
2024-12-31,9.3,9.51,9.22,9.33,12616500
2024-12-30,9.48,9.53,9.23,9.26,13992700
2024-12-27,9.6,9.73,9.54,9.62,11621000
2024-12-26,9.15,9.7,9.14,9.68,15705800
2024-12-24,9.26,9.29,9.12,9.19,8724500
2024-12-23,9.49,9.54,9.19,9.3,18506100
2024-12-20,9.35,9.62,9.28,9.55,29994300
2024-12-19,9.61,9.77,9.3,9.35,19414400
2024-12-18,9.89,10.15,9.63,9.7,25829900
2024-12-17,10.04,10.39,9.54,9.97,31030000
2024-12-16,10.2,10.2,9.85,10.18,26161300
2024-12-13,9.65,10.45,9.41,10.39,38949000
2024-12-12,9.84,10.02,9.56,9.73,20052300
2024-12-11,9.96,10.37,9.54,9.84,44671700
2024-12-10,8.85,11.3,8.54,10.42,104973100
2024-12-09,8.65,9.12,8.57,8.85,22174300
2024-12-06,8.65,8.82,8.46,8.56,15912800
