Date,Open,High,Low,Close,Volume
2025-03-12,0.74,0.8,0.74,0.77,306012
2025-03-11,0.74,0.77,0.71,0.76,343334
2025-03-10,0.74,0.75,0.7,0.72,397945
2025-03-07,0.71,0.76,0.69,0.74,722149
2025-03-06,0.78,0.78,0.74,0.77,266931
2025-03-05,0.86,0.86,0.75,0.79,789852
2025-03-04,0.86,0.87,0.78,0.83,500042
2025-03-03,0.9,0.93,0.82,0.85,337719
2025-02-28,0.96,0.96,0.9,0.91,316037
2025-02-27,1.06,1.08,0.94,0.96,464156
2025-02-26,0.97,1.06,0.94,1.04,438811
2025-02-25,1.02,1.03,0.9,0.98,816510
2025-02-24,1.09,1.09,1.01,1.02,558333
2025-02-21,1.06,1.29,1.03,1.12,1439628
2025-02-20,1.07,1.12,0.98,1.08,930825
2025-02-19,1.1,1.1,1.05,1.09,636385
2025-02-18,1.2,1.21,1.09,1.15,950010
2025-02-14,1.18,1.33,1.15,1.22,1199682
2025-02-13,1.31,1.32,1.21,1.21,2599477
2025-02-12,1.5,1.74,1.26,1.3,38225687
2025-02-11,1.19,1.19,1.11,1.14,408527
2025-02-10,1.21,1.28,1.16,1.19,563177
2025-02-07,1.27,1.29,1.2,1.22,386607
2025-02-06,1.3,1.33,1.27,1.28,251249
2025-02-05,1.27,1.37,1.26,1.3,608389
2025-02-04,1.3,1.35,1.27,1.29,300952
2025-02-03,1.3,1.38,1.25,1.3,579821
2025-01-31,1.26,1.38,1.24,1.35,566471
2025-01-30,1.31,1.32,1.25,1.27,368177
2025-01-29,1.42,1.45,1.26,1.31,767755
2025-01-28,1.37,1.42,1.37,1.42,264059
2025-01-27,1.45,1.45,1.34,1.37,462358
2025-01-24,1.37,1.5,1.34,1.49,682283
2025-01-23,1.37,1.4,1.33,1.37,521219
2025-01-22,1.41,1.45,1.32,1.37,1202770
2025-01-21,1.49,1.51,1.37,1.39,744617
2025-01-17,1.56,1.57,1.46,1.49,728436
2025-01-16,1.67,1.72,1.55,1.56,588657
2025-01-15,1.65,1.72,1.63,1.66,361748
2025-01-14,1.68,1.8,1.62,1.63,453327
2025-01-13,1.85,1.85,1.62,1.68,743286
2025-01-10,1.9,1.92,1.82,1.87,377208
2025-01-08,2.0,2.01,1.86,1.91,676915
2025-01-07,2.14,2.21,2.03,2.07,864998
2025-01-06,2.27,2.29,2.08,2.19,1289666
2025-01-03,2.1,2.25,2.01,2.21,1166167
2025-01-02,2.02,2.04,1.82,2.04,1395698
2024-12-31,2.57,2.57,2.01,2.05,2241311
2024-12-30,2.41,2.67,2.23,2.6,3554503
2024-12-27,2.29,2.34,2.02,2.3,2570642
2024-12-26,2.1,2.66,1.87,2.28,14302882
2024-12-24,1.82,2.1,1.82,2.06,2382720
2024-12-23,1.91,1.96,1.65,1.81,7241157
2024-12-20,1.72,1.84,1.69,1.7,377652
2024-12-19,1.67,1.74,1.65,1.72,237973
2024-12-18,1.69,1.76,1.66,1.69,186144
2024-12-17,1.77,1.78,1.68,1.71,211841
2024-12-16,1.63,1.76,1.58,1.75,495543
2024-12-13,1.65,1.69,1.56,1.59,140416
2024-12-12,1.66,1.74,1.6,1.61,425108
2024-12-11,1.67,1.67,1.61,1.65,116854
