Date,Open,High,Low,Close,Volume
2025-03-20,2.4,2.52,2.38,2.41,2757481
2025-03-19,2.41,2.5,2.41,2.44,2482000
2025-03-18,2.46,2.51,2.39,2.41,3105900
2025-03-17,2.44,2.56,2.41,2.5,3255000
2025-03-14,2.43,2.53,2.39,2.39,2682700
2025-03-13,2.46,2.52,2.28,2.37,3458300
2025-03-12,2.64,2.67,2.46,2.46,3260700
2025-03-11,2.58,2.76,2.51,2.58,2982800
2025-03-10,2.55,2.7,2.51,2.59,3673400
2025-03-07,2.54,2.6,2.43,2.58,3380000
2025-03-06,2.5,2.63,2.45,2.52,2102900
2025-03-05,2.44,2.57,2.39,2.54,5135400
2025-03-04,2.43,2.54,2.32,2.45,5328600
2025-03-03,2.7,2.76,2.42,2.47,4761100
2025-02-28,2.7,2.79,2.65,2.69,3630900
2025-02-27,2.85,2.9,2.69,2.71,4139500
2025-02-26,2.98,3.0,2.82,2.82,2904600
2025-02-25,2.92,2.96,2.85,2.94,3577100
2025-02-24,2.9,2.96,2.8,2.9,2433400
2025-02-21,3.03,3.05,2.85,2.91,2980200
2025-02-20,3.11,3.13,2.94,2.99,2423600
2025-02-19,3.1,3.12,2.65,3.1,14022000
2025-02-18,2.97,3.14,2.97,3.14,3109000
2025-02-14,2.97,3.04,2.94,2.95,4480400
2025-02-13,3.06,3.1,2.9,2.94,2641100
2025-02-12,2.95,3.09,2.94,3.06,3274900
2025-02-11,3.0,3.09,2.96,2.98,3697300
2025-02-10,3.25,3.29,2.93,3.02,6618700
2025-02-07,3.29,3.34,3.2,3.25,2283500
2025-02-06,3.32,3.42,3.28,3.29,2880700
2025-02-05,3.41,3.42,3.3,3.31,3516200
2025-02-04,3.29,3.4,3.25,3.38,2020000
2025-02-03,3.25,3.38,3.2,3.29,3524400
2025-01-31,3.63,3.64,3.4,3.42,3224300
2025-01-30,3.66,3.72,3.53,3.62,4403300
2025-01-29,3.84,3.9,3.55,3.6,3523500
2025-01-28,3.75,3.84,3.65,3.8,2844000
2025-01-27,3.81,3.97,3.7,3.75,2025900
2025-01-24,3.89,3.92,3.73,3.85,3317800
2025-01-23,3.71,3.88,3.69,3.86,2601800
2025-01-22,3.9,4.03,3.75,3.77,3867800
2025-01-21,3.68,3.92,3.62,3.87,3856300
2025-01-17,3.76,3.76,3.54,3.65,4086700
2025-01-16,3.83,3.87,3.62,3.7,3363300
2025-01-15,3.96,4.02,3.71,3.84,2387300
2025-01-14,3.81,3.85,3.66,3.81,3852800
2025-01-13,3.73,3.9,3.61,3.77,4103300
