Date,Open,High,Low,Close,Volume
2025-03-13,0.54,0.54,0.43,0.43,18180
2025-03-12,0.55,0.55,0.46,0.51,6600
2025-03-11,0.55,0.6,0.43,0.51,65200
2025-03-10,0.64,0.67,0.43,0.57,55600
2025-03-07,0.44,0.67,0.43,0.67,61900
2025-03-06,0.47,0.52,0.43,0.43,19300
2025-03-05,0.44,0.51,0.43,0.49,30200
2025-03-04,0.44,0.44,0.37,0.43,97700
2025-03-03,0.62,0.62,0.44,0.51,11600
2025-02-28,0.56,0.63,0.51,0.51,10600
2025-02-27,0.59,0.6,0.42,0.6,17400
2025-02-26,0.52,0.62,0.47,0.48,6900
2025-02-25,0.56,0.63,0.51,0.51,10900
2025-02-24,0.63,0.63,0.56,0.59,9300
2025-02-21,0.62,0.63,0.56,0.56,2600
2025-02-20,0.64,0.65,0.54,0.55,8600
2025-02-19,0.51,0.63,0.51,0.61,19300
2025-02-18,0.52,0.63,0.47,0.55,70800
2025-02-14,0.54,0.55,0.47,0.54,11500
2025-02-13,0.48,0.55,0.47,0.54,32400
2025-02-12,0.5,0.55,0.49,0.55,19300
2025-02-11,0.54,0.54,0.47,0.53,3900
2025-02-10,0.47,0.54,0.47,0.47,4000
2025-02-07,0.5,0.56,0.49,0.49,110800
2025-02-06,0.56,0.61,0.55,0.55,5700
2025-02-05,0.53,0.61,0.53,0.6,10000
2025-02-04,0.51,0.59,0.51,0.56,54000
2025-02-03,0.64,0.65,0.54,0.59,50600
2025-01-31,0.65,0.65,0.63,0.65,9800
2025-01-30,0.7,0.7,0.63,0.65,6600
2025-01-29,0.64,0.77,0.63,0.64,15500
2025-01-28,0.63,0.82,0.63,0.7,29100
2025-01-27,0.7,0.75,0.61,0.75,31400
2025-01-24,0.61,0.7,0.61,0.67,32800
2025-01-23,0.61,0.68,0.61,0.65,16900
2025-01-22,0.66,0.74,0.6,0.65,24100
2025-01-21,0.8,0.8,0.58,0.68,37200
2025-01-17,0.67,0.9,0.67,0.68,53800
2025-01-16,0.63,0.86,0.63,0.67,40400
2025-01-15,0.65,0.73,0.63,0.63,14200
2025-01-14,0.65,0.75,0.57,0.65,23700
2025-01-13,0.72,0.75,0.6,0.63,36500
2025-01-10,0.65,1.0,0.59,0.74,77800
2025-01-08,1.04,1.04,0.25,0.7,303900
2025-01-07,1.06,1.18,1.03,1.07,20700
2025-01-06,1.15,1.19,1.01,1.13,32800
2025-01-03,1.05,1.18,1.05,1.1,21400
2025-01-02,1.1,1.15,0.93,1.1,32100
2024-12-31,1.05,1.11,1.02,1.11,51100
2024-12-30,1.15,1.21,0.99,1.01,54100
2024-12-27,1.16,1.21,1.15,1.2,12400
2024-12-26,1.1,1.23,1.1,1.23,48700
2024-12-24,1.1,1.15,1.1,1.1,12000
2024-12-23,1.09,1.23,1.06,1.2,17300
2024-12-20,1.2,1.29,1.12,1.2,16300
2024-12-19,1.1,1.21,1.1,1.2,20800
2024-12-18,1.07,1.35,1.07,1.17,21500
2024-12-17,1.1,1.22,1.07,1.2,36200
2024-12-16,1.12,1.23,1.07,1.21,48000
2024-12-13,1.1,1.21,1.06,1.2,37200
2024-12-12,1.2,1.24,1.1,1.21,17100
2024-12-11,1.13,1.2,1.05,1.2,101500
2024-12-10,1.19,1.21,1.05,1.15,43500
2024-12-09,1.3,1.3,1.22,1.3,30300
2024-12-06,1.25,1.39,1.2,1.3,45500
2024-12-05,1.3,1.38,1.11,1.34,48300
2024-12-04,1.25,1.38,1.25,1.3,48000
2024-12-03,1.32,1.33,1.19,1.26,26600
2024-12-02,1.1,1.35,1.1,1.32,58800
2024-11-29,1.23,1.39,1.06,1.32,48800
2024-11-27,1.16,1.39,1.09,1.31,29600
2024-11-26,1.15,1.34,1.09,1.3,80600
2024-11-25,1.1,1.17,0.99,1.16,34600
2024-11-22,1.01,1.12,0.99,1.1,34500
2024-11-21,1.1,1.15,0.99,1.08,43800
2024-11-20,1.08,1.09,1.0,1.08,49700
2024-11-19,1.06,1.2,1.06,1.08,146000
